# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715278.16214 0.014407 0.000583 0.011370 0.830021 -0.009207 0.557472 0.014325 0.0014948044 -0.0000000533 0.0000033360 0.0014898370 -0.0000000358 0.0014920764 0.0078667109 0.0000000809 -0.0000349194 0.0078740580 -0.0000016225 0.0015571697
1403715278.21214 0.016408 0.000835 0.012903 0.829957 -0.009093 0.557569 0.014333 0.0015676442 -0.0000000557 0.0000035745 0.0015623245 -0.0000000374 0.0015647255 0.0100094296 0.0000001166 -0.0000461010 0.0100202157 -0.0000026880 0.0016493025
1403715278.26214 0.018036 0.001096 0.014425 0.829723 -0.008957 0.557906 0.014865 0.0016454793 -0.0000000576 0.0000038150 0.0016398121 -0.0000000388 0.0016423792 0.0126391608 0.0000001670 -0.0000579342 0.0126545046 -0.0000040460 0.0017506544
1403715278.31214 0.019741 0.001363 0.016682 0.829462 -0.009691 0.558272 0.015204 0.0017283137 -0.0000000720 0.0000040557 0.0017223000 -0.0000000485 0.0017250339 0.0158381747 0.0000002335 -0.0000719948 0.0158594761 -0.0000057280 0.0018618245
1403715278.36214 0.021594 0.001485 0.019598 0.828996 -0.010293 0.558927 0.016142 0.0018161409 -0.0000000858 0.0000042994 0.0018097868 -0.0000000579 0.0018126939 0.0196914896 0.0000003211 -0.0000889242 0.0197204451 -0.0000070053 0.0019834362
1403715278.41214 0.024018 0.001690 0.022754 0.828783 -0.010463 0.559212 0.017065 0.0019089743 -0.0000000942 0.0000045410 0.0019022715 -0.0000000633 0.0019053453 0.0242882620 0.0000004258 -0.0001115979 0.0243268930 -0.0000089498 0.0021161759
1403715278.46214 0.027653 0.002200 0.026047 0.827918 -0.011525 0.560479 0.016796 0.0020067846 -0.0000001183 0.0000047911 0.0019997564 -0.0000000795 0.0020030186 0.0297282550 0.0000005376 -0.0001456132 0.0297789678 -0.0000132083 0.0022607973
1403715278.51214 0.032712 0.003081 0.029878 0.826635 -0.012478 0.562345 0.016918 0.0021095754 -0.0000001442 0.0000050466 0.0021022408 -0.0000000953 0.0021057044 0.0361271698 0.0000006461 -0.0001956680 0.0361928276 -0.0000210149 0.0024180990
1403715278.56214 0.039236 0.004552 0.035555 0.823723 -0.013686 0.566587 0.016510 0.0022172942 -0.0000001797 0.0000053241 0.0022097249 -0.0000001155 0.0022134460 0.0436284039 0.0000007306 -0.0002662605 0.0437124449 -0.0000352510 0.0025889422
1403715278.61214 0.047114 0.006456 0.043364 0.820863 -0.014859 0.570710 0.015924 0.0023299850 -0.0000002214 0.0000055999 0.0023222072 -0.0000001325 0.0023261705 0.0523768818 0.0000007730 -0.0003612348 0.0524833539 -0.0000562372 0.0027742345
