# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715278.16214 0.014407 0.000583 0.011370 0.830021 -0.009207 0.557472 0.014325 0.0014970450 -0.0000000000 0.0000000000 0.0014970451 -0.0000000000 0.0014970451 0.0078734635 -0.0000000214 -0.0000370357 0.0078736666 -0.0000036972 0.0015595481
1403715278.21214 0.016408 0.000835 0.012903 0.829957 -0.009093 0.557569 0.014333 0.0015700464 -0.0000000000 0.0000000000 0.0015700465 0.0000000000 0.0015700464 0.0100202210 -0.0000000301 -0.0000487881 0.0100204818 -0.0000052300 0.0016522282
1403715278.26214 0.018036 0.001096 0.014425 0.829723 -0.008957 0.557906 0.014865 0.0016480477 -0.0000000000 0.0000000000 0.0016480478 0.0000000000 0.0016480478 0.0126555713 -0.0000000389 -0.0000612225 0.0126558729 -0.0000071451 0.0017542045
1403715278.31214 0.019741 0.001363 0.016682 0.829462 -0.009691 0.558272 0.015204 0.0017310494 -0.0000000000 -0.0000000000 0.0017310495 0.0000000000 0.0017310495 0.0158617333 -0.0000000487 -0.0000759310 0.0158620780 -0.0000094259 0.0018660817
1403715278.36214 0.002784 -0.001423 0.002486 0.828366 -0.011178 0.559863 0.015460 0.0009459364 0.0000209702 -0.0003163321 0.0000719721 -0.0000018755 0.0001866188 0.0012040689 -0.0000023849 -0.0000418532 0.0012162627 0.0000176410 0.0013213886
1403715278.41214 0.002555 -0.002789 0.002979 0.828148 -0.011064 0.560176 0.015844 0.0008843937 0.0000161075 -0.0003157556 0.0000545031 -0.0000037234 0.0001656144 0.0011833240 -0.0000009804 -0.0000311913 0.0011941410 0.0000161147 0.0012894007
1403715278.46214 0.003959 -0.004738 0.000693 0.827428 -0.011276 0.561240 0.015672 0.0008663882 0.0000132266 -0.0003167822 0.0000451065 -0.0000048345 0.0001549137 0.0011656802 -0.0000000732 -0.0000189357 0.0011693451 0.0000058986 0.0012249627
1403715278.51214 0.006505 -0.005517 0.002258 0.826318 -0.012014 0.562850 0.015920 0.0008598761 0.0000111188 -0.0003159996 0.0000402995 -0.0000048886 0.0001463657 0.0011522385 0.0000007297 -0.0000084661 0.0011507657 -0.0000002159 0.0011976286
1403715278.56214 0.009833 -0.006341 0.002966 0.823384 -0.012835 0.567105 0.016308 0.0008588574 0.0000076541 -0.0003109999 0.0000323877 -0.0000055316 0.0001362066 0.0011329018 -0.0000007603 0.0000013194 0.0011321437 -0.0000077385 0.0011672237
1403715278.61214 0.015733 -0.003687 0.008008 0.820417 -0.014278 0.571377 0.015518 0.0008626535 0.0000059519 -0.0003037896 0.0000308165 -0.0000051048 0.0001290587 0.0011182478 -0.0000003656 0.0000073481 0.0011221025 -0.0000121229 0.0011682631
1403715278.66214 0.022280 -0.002289 0.015576 0.819011 -0.013885 0.573384 0.016072 0.0008644588 0.0000086228 -0.0003012468 0.0000299479 -0.0000048493 0.0001246625 0.0011094567 0.0000021185 0.0000126693 0.0011214419 -0.0000181988 0.0011685186
1403715278.71214 0.024934 0.008082 0.026304 0.818328 -0.017817 0.574276 0.015165 0.0008402113 0.0000050125 -0.0002950648 0.0000158488 -0.0000014557 0.0001163972 0.0010463986 -0.0000008167 0.0000102041 0.0010316315 -0.0000026955 0.0010571062
1403715278.76214 0.034640 0.011376 0.040489 0.816088 -0.018859 0.577462 0.013519 0.0008430093 0.0000011596 -0.0002888685 0.0000159647 -0.0000000991 0.0001117108 0.0010425965 -0.0000013210 0.0000104375 0.0010310958 -0.0000034933 0.0010554141
1403715278.86214 0.057085 0.017487 0.077200 0.812274 -0.019063 0.582870 0.010498 0.0008456795 -0.0000034114 -0.0002775273 0.0000162622 0.0000013961 0.0001036833 0.0010350915 -0.0000024563 0.0000112624 0.0010317361 -0.0000047752 0.0010518737
1403715278.91214 0.068523 0.022092 0.096196 0.811715 -0.017640 0.583722 0.008780 0.0008386425 -0.0000038443 -0.0002745399 0.0000161896 0.0000014672 0.0001023215 0.0010313832 -0.0000029248 0.0000124904 0.0010319220 -0.0000049300 0.0010491004
1403715278.96214 0.079177 0.025787 0.115421 0.811020 -0.016471 0.584731 0.008017 0.0008328328 -0.0000030270 -0.0002714246 0.0000157908 0.0000012970 0.0001007449 0.0010281833 -0.0000030347 0.0000137058 0.0010323351 -0.0000056349 0.0010461630
1403715279.01214 0.089347 0.029103 0.130603 0.810479 -0.014522 0.585540 0.007397 0.0008284534 -0.0000015979 -0.0002692567 0.0000151527 0.0000008212 0.0000996169 0.0010261881 -0.0000029840 0.0000148708 0.0010318725 -0.0000062208 0.0010432286
1403715279.06214 0.098398 0.031526 0.139550 0.810445 -0.014560 0.585585 0.007597 0.0008263088 -0.0000010995 -0.0002692498 0.0000148907 0.0000005715 0.0000997822 0.0010270836 -0.0000036044 0.0000167281 0.0010332543 -0.0000061172 0.0010418963
1403715279.11214 0.105687 0.033388 0.142533 0.809965 -0.014204 0.586257 0.007618 0.0008220704 -0.0000015989 -0.0002672032 0.0000139883 0.0000006376 0.0000988690 0.0010285355 -0.0000038043 0.0000180976 0.0010345700 -0.0000057206 0.0010394445
1403715279.16214 0.112081 0.033750 0.140758 0.809955 -0.013676 0.586275 0.008208 0.0008076901 -0.0000019988 -0.0002625547 0.0000127075 0.0000006592 0.0000972759 0.0010289837 -0.0000041726 0.0000181871 0.0010361040 -0.0000061365 0.0010366486
1403715279.21214 0.117662 0.034600 0.136555 0.810385 -0.013423 0.585674 0.009073 0.0007957239 -0.0000008949 -0.0002597201 0.0000122990 0.0000002509 0.0000966924 0.0010298071 -0.0000045610 0.0000187805 0.0010382155 -0.0000062987 0.0010361094
1403715279.26214 0.122766 0.035888 0.131351 0.810680 -0.011768 0.585311 0.008380 0.0007881375 -0.0000005546 -0.0002576798 0.0000117844 0.0000001160 0.0000961489 0.0010290832 -0.0000047434 0.0000179209 0.0010396784 -0.0000060318 0.0010345523
1403715279.31214 0.127577 0.035996 0.126619 0.811404 -0.012155 0.584299 0.008447 0.0007835414 -0.0000005886 -0.0002580226 0.0000117713 0.0000000981 0.0000968876 0.0010299329 -0.0000049956 0.0000186700 0.0010419058 -0.0000061499 0.0010352193
1403715279.36214 0.133126 0.037714 0.122702 0.812238 -0.012486 0.583141 0.007758 0.0007484224 -0.0000016414 -0.0002475717 0.0000109994 0.0000004854 0.0000935630 0.0010228029 -0.0000044405 0.0000128883 0.0010334411 -0.0000045977 0.0010292056
1403715279.41214 0.137133 0.038185 0.120144 0.812423 -0.012926 0.582886 0.006714 0.0007474144 -0.0000033160 -0.0002478073 0.0000110766 0.0000010378 0.0000938530 0.0010231284 -0.0000048179 0.0000134476 0.0010346830 -0.0000048516 0.0010297595
1403715279.51214 0.144178 0.038602 0.118753 0.813438 -0.012935 0.581482 0.005590 0.0007447389 -0.0000048961 -0.0002495027 0.0000112275 0.0000015683 0.0000953398 0.0010240085 -0.0000050899 0.0000147098 0.0010372858 -0.0000051424 0.0010308089
1403715279.56214 0.147191 0.037957 0.120012 0.813401 -0.012312 0.581542 0.006010 0.0007442489 -0.0000037691 -0.0002494089 0.0000112737 0.0000011744 0.0000953475 0.0010246101 -0.0000052140 0.0000153983 0.0010387085 -0.0000053245 0.0010312403
1403715279.61214 0.149464 0.040608 0.121704 0.813762 -0.012521 0.581027 0.006473 0.0007417370 -0.0000033351 -0.0002496038 0.0000111308 0.0000010400 0.0000957639 0.0010221821 -0.0000056668 0.0000128636 0.0010380804 -0.0000056278 0.0010278918
1403715279.66214 0.151284 0.040591 0.124264 0.813989 -0.012302 0.580714 0.006489 0.0007407109 -0.0000031836 -0.0002500811 0.0000111614 0.0000009816 0.0000962192 0.0010225505 -0.0000059224 0.0000132758 0.0010390434 -0.0000059184 0.0010279435
1403715279.71214 0.153414 0.040901 0.128035 0.813861 -0.012224 0.580896 0.006402 0.0007400618 -0.0000032550 -0.0002494855 0.0000112087 0.0000009987 0.0000958999 0.0010231967 -0.0000059600 0.0000138701 0.0010401438 -0.0000060182 0.0010280953
1403715279.76214 0.154560 0.041633 0.131966 0.813873 -0.012238 0.580880 0.006375 0.0007368395 -0.0000030118 -0.0002485425 0.0000111207 0.0000009183 0.0000956260 0.0010226441 -0.0000060344 0.0000130498 0.0010405079 -0.0000059651 0.0010264359
1403715279.81214 0.155375 0.042839 0.136680 0.813999 -0.012587 0.580697 0.006201 0.0007330286 -0.0000030844 -0.0002479383 0.0000110488 0.0000009620 0.0000956583 0.0010220885 -0.0000059942 0.0000122162 0.0010405281 -0.0000058700 0.0010248728
1403715279.86214 0.155964 0.042491 0.142641 0.814259 -0.012004 0.580348 0.005820 0.0007305901 -0.0000029444 -0.0002476737 0.0000110289 0.0000009125 0.0000957693 0.0010221093 -0.0000059441 0.0000121073 0.0010409553 -0.0000059682 0.0010243339
1403715279.91214 0.156347 0.042363 0.149247 0.814751 -0.011494 0.579669 0.005670 0.0007277254 -0.0000025919 -0.0002479949 0.0000109912 0.0000007923 0.0000963337 0.0010220555 -0.0000060367 0.0000118578 0.0010412341 -0.0000061797 0.0010236289
1403715279.96214 0.156807 0.041819 0.156365 0.816269 -0.010896 0.577540 0.005786 0.0007233306 -0.0000016082 -0.0002502897 0.0000109476 0.0000004597 0.0000984695 0.0010219767 -0.0000059511 0.0000115419 0.0010415913 -0.0000062063 0.0010228641
1403715280.01214 0.157356 0.043475 0.162581 0.819645 -0.010636 0.572745 0.005693 0.0007089945 -0.0000010228 -0.0002544501 0.0000107667 0.0000002958 0.0001032242 0.0010197982 -0.0000058735 0.0000093208 0.0010385448 -0.0000055894 0.0010201785
1403715280.06214 0.157690 0.042598 0.168631 0.823954 -0.010621 0.566528 0.005725 0.0006992986 -0.0000006889 -0.0002628828 0.0000107944 0.0000001834 0.0001108769 0.0010200402 -0.0000059476 0.0000096082 0.0010388912 -0.0000058048 0.0010203307
1403715280.11214 0.158915 0.041579 0.175313 0.827831 -0.008882 0.560844 0.008413 0.0006909679 0.0000039825 -0.0002702567 0.0000108473 -0.0000016654 0.0001178970 0.0010202867 -0.0000059552 0.0000099180 0.0010393803 -0.0000059475 0.0010204992
1403715280.16214 0.160495 0.040355 0.182400 0.830043 -0.007227 0.557546 0.010912 0.0006857991 0.0000084611 -0.0002745321 0.0000109672 -0.0000035270 0.0001221841 0.0010208067 -0.0000059132 0.0000103784 0.0010403997 -0.0000060656 0.0010207582
1403715280.21214 0.164859 0.039174 0.191465 0.831039 -0.003700 0.556010 0.014621 0.0006743327 0.0000156557 -0.0002724371 0.0000112341 -0.0000065139 0.0001224009 0.0010210693 -0.0000059034 0.0000105999 0.0010413165 -0.0000061571 0.0010207996
1403715280.26214 0.171093 0.037662 0.201479 0.831008 -0.003458 0.555885 0.020156 0.0005958204 0.0000199849 -0.0002401279 0.0000114910 -0.0000082885 0.0001091141 0.0010212449 -0.0000054324 0.0000107296 0.0010410225 -0.0000060209 0.0010207274
1403715280.31214 0.178170 0.038851 0.211160 0.830429 0.000377 0.556689 0.022030 0.0004599050 0.0000197129 -0.0001832208 0.0000115507 -0.0000081385 0.0000852987 0.0010215023 -0.0000048868 0.0000108515 0.0010387515 -0.0000058594 0.0010206033
1403715280.36214 0.186694 0.040522 0.221634 0.829414 0.002882 0.558112 0.023963 0.0003623159 0.0000182884 -0.0001420566 0.0000114860 -0.0000075193 0.0000679419 0.0010214647 -0.0000044459 0.0000106515 0.0010366648 -0.0000055581 0.0010201187
1403715280.41214 0.197980 0.041415 0.233413 0.828235 0.001605 0.559682 0.027956 0.0003063995 0.0000172103 -0.0001179029 0.0000113992 -0.0000070335 0.0000575280 0.0010207978 -0.0000041150 0.0000099954 0.0010349051 -0.0000052108 0.0010193405
1403715280.46214 0.207786 0.044581 0.242691 0.827753 -0.000545 0.560421 0.027439 0.0002656303 0.0000143439 -0.0001008301 0.0000111271 -0.0000058909 0.0000503703 0.0010211290 -0.0000042358 0.0000099926 0.0010339104 -0.0000050785 0.0010191638
1403715280.51214 0.218097 0.047335 0.251362 0.826782 -0.008824 0.561766 0.027814 0.0002323664 0.0000101410 -0.0000868746 0.0000107165 -0.0000042242 0.0000445157 0.0010213034 -0.0000041908 0.0000098985 0.0010330977 -0.0000048439 0.0010189639
1403715280.56214 0.228472 0.049271 0.260066 0.825673 -0.018855 0.563059 0.029560 0.0002079823 0.0000072929 -0.0000765463 0.0000104606 -0.0000031005 0.0000401553 0.0010218285 -0.0000042489 0.0000099717 0.0010328271 -0.0000046790 0.0010189172
1403715280.61214 0.240007 0.052077 0.269420 0.824400 -0.028315 0.564435 0.031247 0.0001825633 0.0000051237 -0.0000663073 0.0000102000 -0.0000023112 0.0000358907 0.0010213701 -0.0000042325 0.0000093783 0.0010311310 -0.0000041168 0.0010183082
