# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715278.16214 0.014407 0.000583 0.011370 0.830021 -0.009207 0.557472 0.014325 0.0014948044 -0.0000000533 0.0000033360 0.0014898370 -0.0000000358 0.0014920764 0.0078667109 0.0000000809 -0.0000349194 0.0078740580 -0.0000016225 0.0015571697
1403715278.21214 0.016408 0.000835 0.012903 0.829957 -0.009093 0.557569 0.014333 0.0015676442 -0.0000000557 0.0000035745 0.0015623245 -0.0000000374 0.0015647255 0.0100094296 0.0000001166 -0.0000461010 0.0100202157 -0.0000026880 0.0016493025
1403715278.26214 0.018036 0.001096 0.014425 0.829723 -0.008957 0.557906 0.014865 0.0016454793 -0.0000000576 0.0000038150 0.0016398121 -0.0000000388 0.0016423792 0.0126391608 0.0000001670 -0.0000579342 0.0126545046 -0.0000040460 0.0017506544
1403715278.31214 0.019741 0.001363 0.016682 0.829462 -0.009691 0.558272 0.015204 0.0017283137 -0.0000000720 0.0000040557 0.0017223000 -0.0000000485 0.0017250339 0.0158381747 0.0000002335 -0.0000719948 0.0158594761 -0.0000057280 0.0018618245
1403715278.36214 0.002759 -0.001420 0.002514 0.828373 -0.011178 0.559853 0.015460 0.0009438685 0.0000206701 -0.0003175141 0.0000717181 -0.0000018386 0.0001877887 0.0012039313 -0.0000023352 -0.0000418396 0.0012162597 0.0000175482 0.0013214593
1403715278.41214 0.002661 -0.002767 0.003122 0.828152 -0.011200 0.560166 0.015914 0.0009117704 0.0000152201 -0.0003263850 0.0000548632 -0.0000031723 0.0001705006 0.0011884102 -0.0000011092 -0.0000313370 0.0011959177 0.0000151548 0.0012905708
1403715278.51214 0.006546 -0.005119 0.003167 0.826282 -0.012809 0.562885 0.015960 0.0008938965 0.0000120564 -0.0003283459 0.0000469313 -0.0000035019 0.0001565974 0.0011542111 0.0000045881 -0.0000188040 0.0011604891 0.0000027636 0.0012359034
1403715278.56214 0.009932 -0.006210 0.004603 0.823466 -0.013750 0.566962 0.016379 0.0008919021 0.0000069958 -0.0003259906 0.0000347634 -0.0000044814 0.0001440740 0.0011362772 0.0000029539 -0.0000057855 0.0011330695 -0.0000125864 0.0011782422
1403715278.61214 0.015384 -0.005518 0.009915 0.820620 -0.014704 0.571044 0.016594 0.0008980190 0.0000055518 -0.0003192476 0.0000341861 -0.0000043371 0.0001366076 0.0011259962 0.0000034752 -0.0000015008 0.0011265746 -0.0000169994 0.0011811224
1403715278.66214 0.022698 -0.002454 0.015491 0.818989 -0.014279 0.573378 0.017070 0.0009005225 0.0000089094 -0.0003166926 0.0000316167 -0.0000052430 0.0001325620 0.0011137249 0.0000055638 0.0000059155 0.0011236782 -0.0000188258 0.0011727898
