# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715528.46214 0.004919 -0.002169 -0.001424 0.819713 -0.027586 0.570945 0.036489 0.0014970370 0.0000000002 0.0000000000 0.0014970451 -0.0000000004 0.0014970371 0.0078227497 0.0000000223 -0.0000152767 0.0078227603 0.0000066620 0.0015593739
1403715528.51214 0.006476 -0.001619 0.000297 0.822009 -0.029321 0.567599 0.035682 0.0015700187 0.0000000009 -0.0000000001 0.0015700458 -0.0000000038 0.0015700195 0.0099645393 0.0000000215 -0.0000226709 0.0099645703 0.0000059791 0.0016520088
1403715528.56214 0.008381 -0.000267 0.003981 0.822594 -0.030886 0.566739 0.034512 0.0016479915 0.0000000024 -0.0000000005 0.0016480455 -0.0000000107 0.0016479940 0.0126104135 0.0000000064 -0.0000331078 0.0126104793 0.0000018209 0.0017539623
1403715528.61214 0.011116 0.001510 0.009879 0.821629 -0.032118 0.568093 0.034122 0.0017309608 0.0000000040 -0.0000000011 0.0017310425 -0.0000000214 0.0017309676 0.0158449945 -0.0000000279 -0.0000493357 0.0158451254 -0.0000057565 0.0018658496
1403715528.66214 0.007011 0.006564 0.023956 0.819480 -0.032576 0.571255 0.032554 0.0016054287 -0.0000366881 -0.0004948330 0.0003171142 0.0000192836 0.0003751150 0.0016889907 -0.0000567818 0.0000931908 0.0012512724 0.0000870065 0.0015606815
1403715528.71214 0.016049 0.007962 0.038129 0.818853 -0.031485 0.572270 0.031557 0.0012453811 0.0000956787 -0.0004096526 0.0002631023 -0.0000296085 0.0002559752 0.0013524758 0.0000060719 0.0000223503 0.0011668246 0.0000853401 0.0014631921
1403715528.76214 0.021118 0.011432 0.049405 0.815458 -0.031486 0.577130 0.030950 0.0012065196 0.0000962466 -0.0003687691 0.0002781804 -0.0000252319 0.0002147542 0.0013196424 -0.0000003394 0.0000200154 0.0011445611 0.0000990779 0.0014480617
1403715528.81214 0.024072 0.014493 0.060602 0.814474 -0.031781 0.578460 0.031716 0.0012423244 0.0001081791 -0.0003703934 0.0003207858 -0.0000280755 0.0002273700 0.0013102854 0.0000073912 0.0000436884 0.0011487026 0.0001150079 0.0014987950
1403715528.86214 0.027796 0.015809 0.074127 0.813934 -0.028406 0.579350 0.032526 0.0012076149 0.0001295215 -0.0003388861 0.0003293077 -0.0000539259 0.0001760274 0.0012911574 0.0000182047 0.0000540623 0.0011424536 0.0001281774 0.0015084440
1403715528.91214 0.030758 0.021554 0.088207 0.814104 -0.029828 0.578880 0.035250 0.0010918077 0.0000773214 -0.0003672189 0.0002418889 -0.0000603662 0.0001751039 0.0012438982 0.0000234274 0.0000592564 0.0011383025 0.0001199199 0.0015017933
1403715528.96214 0.034268 0.026965 0.100842 0.813846 -0.029320 0.579197 0.036413 0.0011103931 0.0000864722 -0.0003717888 0.0002737391 -0.0000679399 0.0001827363 0.0012387140 0.0000323804 0.0000910527 0.0011468613 0.0001314488 0.0015552033
1403715529.01214 0.037978 0.027984 0.110783 0.814992 -0.033226 0.577193 0.039155 0.0008885543 0.0000367736 -0.0002992144 0.0000301043 -0.0000140093 0.0001219055 0.0011061003 0.0000045104 0.0000192028 0.0010716887 0.0000177121 0.0011034875
1403715529.06214 0.042045 0.034534 0.123663 0.815794 -0.031432 0.576347 0.036288 0.0008821886 0.0000331939 -0.0002996647 0.0000297331 -0.0000139310 0.0001244531 0.0011066680 0.0000077804 0.0000255049 0.0010753693 0.0000229687 0.0011118864
