# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715528.46214 0.004919 -0.002169 -0.001424 0.819713 -0.027586 0.570945 0.036489 0.0014946406 -0.0000001703 0.0000035003 0.0014895302 -0.0000001168 0.0014919084 0.0078014464 0.0000002385 -0.0000115209 0.0078086646 0.0000048514 0.0015570776
1403715528.51214 0.006476 -0.001619 0.000297 0.822009 -0.029321 0.567599 0.035682 0.0015675082 -0.0000002003 0.0000037262 0.0015619972 -0.0000001386 0.0015644693 0.0099363445 0.0000003479 -0.0000181204 0.0099469954 0.0000036461 0.0016491847
1403715528.56214 0.008381 -0.000267 0.003981 0.822594 -0.030886 0.566739 0.034512 0.0016453254 -0.0000002295 0.0000039677 0.0016394639 -0.0000001654 0.0016420630 0.0125732711 0.0000004887 -0.0000276111 0.0125885295 -0.0000011548 0.0017505358
1403715528.61214 0.011116 0.001510 0.009879 0.821629 -0.032118 0.568093 0.034122 0.0017280958 -0.0000002559 0.0000042263 0.0017219284 -0.0000001962 0.0017246991 0.0157967445 0.0000006618 -0.0000428846 0.0158180738 -0.0000093089 0.0018617403
1403715528.66214 0.007018 0.006556 0.023938 0.819478 -0.032581 0.571256 0.032558 0.0016010023 -0.0000382111 -0.0004919101 0.0003170576 0.0000197624 0.0003732343 0.0016891129 -0.0000567550 0.0000931123 0.0012515929 0.0000866991 0.0015593401
1403715528.71214 0.015977 0.007806 0.037908 0.818893 -0.031351 0.572226 0.031458 0.0012757910 0.0000926810 -0.0004375060 0.0002585981 -0.0000240569 0.0002670104 0.0013747476 0.0000086555 0.0000533606 0.0011673238 0.0000789138 0.0014573905
1403715528.76214 0.020526 0.010364 0.046809 0.815629 -0.031329 0.576908 0.030744 0.0012068109 0.0000971575 -0.0003841029 0.0002766704 -0.0000266984 0.0002184774 0.0013098007 -0.0000062493 0.0000051747 0.0011368340 0.0000750315 0.0013755590
1403715528.81214 0.023516 0.013332 0.057840 0.814658 -0.031611 0.578222 0.031499 0.0012476620 0.0001094301 -0.0003791656 0.0003190282 -0.0000293366 0.0002250588 0.0013009786 0.0000006985 0.0000273191 0.0011392841 0.0000863076 0.0014161495
1403715528.86214 0.027732 0.014987 0.072125 0.814004 -0.028381 0.579260 0.032396 0.0012151846 0.0001276737 -0.0003476858 0.0003248178 -0.0000520198 0.0001729739 0.0012770346 0.0000123699 0.0000323151 0.0011344575 0.0000993018 0.0014158295
1403715528.91214 0.030454 0.020538 0.085571 0.814002 -0.029708 0.579047 0.034972 0.0011024128 0.0000714361 -0.0003731056 0.0002240246 -0.0000598443 0.0001768914 0.0012270064 0.0000138956 0.0000231505 0.0011290999 0.0000853282 0.0013820167
1403715528.96214 0.033874 0.025863 0.098049 0.813742 -0.029191 0.579367 0.036126 0.0011181235 0.0000820009 -0.0003806059 0.0002545013 -0.0000674448 0.0001864813 0.0012178889 0.0000198992 0.0000453713 0.0011364109 0.0000918972 0.0014196416
1403715529.01214 0.038124 0.028071 0.110547 0.815011 -0.033311 0.577155 0.039230 0.0008978731 0.0000315414 -0.0003065259 0.0000286043 -0.0000125761 0.0001246203 0.0010963091 -0.0000015369 0.0000068832 0.0010674310 0.0000072171 0.0010669303
1403715529.06214 0.041925 0.034594 0.122975 0.815798 -0.032146 0.576269 0.036798 0.0008947791 0.0000257992 -0.0003110827 0.0000266984 -0.0000113277 0.0001295179 0.0010947638 0.0000000581 0.0000102544 0.0010703651 0.0000093245 0.0010671417
1403715529.11214 0.045403 0.039223 0.137779 0.816915 -0.030419 0.575058 0.032147 0.0008948603 0.0000221272 -0.0003108167 0.0000206710 -0.0000087470 0.0001283024 0.0010935803 -0.0000000960 0.0000149161 0.0010685378 0.0000128191 0.0010618801
1403715529.16214 0.049864 0.043376 0.157769 0.818365 -0.027092 0.573428 0.026925 0.0008916660 0.0000174488 -0.0003145870 0.0000167760 -0.0000055620 0.0001281579 0.0010897315 0.0000006276 0.0000144233 0.0010543642 0.0000138948 0.0010517164
1403715529.21214 0.056028 0.050957 0.176927 0.820335 -0.021613 0.571062 0.021725 0.0008866569 0.0000132712 -0.0003208128 0.0000156160 -0.0000046296 0.0001326986 0.0010887415 -0.0000001802 0.0000149894 0.0010505861 0.0000107721 0.0010407538
1403715529.26214 0.062802 0.059347 0.198203 0.822532 -0.014746 0.568297 0.016177 0.0008810251 0.0000120398 -0.0003274896 0.0000156171 -0.0000046791 0.0001379730 0.0010872405 -0.0000037018 0.0000136634 0.0010460201 0.0000063440 0.0010341666
1403715529.31214 0.070819 0.070246 0.218645 0.824821 -0.006375 0.565247 0.011170 0.0008756805 0.0000117665 -0.0003331109 0.0000151117 -0.0000047670 0.0001425789 0.0010843416 -0.0000056952 0.0000143049 0.0010439146 0.0000070719 0.0010308157
1403715529.36214 0.077354 0.080161 0.237419 0.826902 0.002748 0.562301 0.006466 0.0008705747 0.0000147475 -0.0003387127 0.0000155276 -0.0000060622 0.0001477835 0.0010867664 -0.0000067348 0.0000151273 0.0010452473 0.0000093264 0.0010313603
1403715529.41214 0.083131 0.089831 0.254031 0.827561 0.012071 0.561245 0.001303 0.0008681105 0.0000166388 -0.0003409992 0.0000152739 -0.0000068218 0.0001499834 0.0010841805 -0.0000070050 0.0000151702 0.0010458668 0.0000122094 0.0010307830
1403715529.46214 0.091784 0.098634 0.270193 -0.827461 -0.020483 -0.561138 0.003495 0.0008684526 0.0000183373 -0.0003405500 0.0000151697 -0.0000073724 0.0001497855 0.0010830076 -0.0000067763 0.0000150302 0.0010482366 0.0000147939 0.0010308531
1403715529.51214 0.097481 0.108766 0.284123 -0.826775 -0.027703 -0.561799 0.007516 0.0008684118 0.0000195162 -0.0003404959 0.0000146597 -0.0000079381 0.0001493881 0.0010803024 -0.0000080813 0.0000144864 0.0010485401 0.0000163368 0.0010311609
1403715529.56214 0.104111 0.120146 0.295238 -0.826088 -0.033687 -0.562423 0.011154 0.0008693188 0.0000195412 -0.0003395837 0.0000141663 -0.0000078603 0.0001479487 0.0010804250 -0.0000098466 0.0000139296 0.0010474184 0.0000168124 0.0010317508
1403715529.61214 0.110581 0.132493 0.303433 -0.824928 -0.039175 -0.563719 0.013419 0.0008706201 0.0000209285 -0.0003375706 0.0000129529 -0.0000083361 0.0001450867 0.0010748470 -0.0000127536 0.0000113360 0.0010433818 0.0000153525 0.0010302459
1403715529.66214 0.116171 0.142413 0.309762 -0.823367 -0.043592 -0.565601 0.016182 0.0008732823 0.0000225138 -0.0003343873 0.0000127242 -0.0000087690 0.0001418753 0.0010745174 -0.0000137503 0.0000117138 0.0010433793 0.0000156739 0.0010304795
1403715529.71214 0.124883 0.153638 0.317186 -0.822191 -0.048753 -0.566862 0.017078 0.0008756598 0.0000265156 -0.0003314301 0.0000126003 -0.0000102022 0.0001388102 0.0010751465 -0.0000162036 0.0000108326 0.0010431849 0.0000152070 0.0010300532
1403715529.76214 0.129046 0.163981 0.323543 -0.821465 -0.052833 -0.567493 0.018840 0.0008759863 0.0000283435 -0.0003308820 0.0000123746 -0.0000108245 0.0001377737 0.0010753418 -0.0000187574 0.0000101366 0.0010427163 0.0000139866 0.0010289883
1403715529.81214 0.139166 0.178363 0.332890 -0.820892 -0.055211 -0.568031 0.020688 0.0008782649 0.0000270085 -0.0003284816 0.0000122554 -0.0000101376 0.0001354077 0.0010789876 -0.0000193315 0.0000110797 0.0010432324 0.0000141128 0.0010294447
1403715529.86214 0.152209 0.191824 0.342218 -0.820960 -0.057090 -0.567709 0.021719 0.0008783810 0.0000275794 -0.0003283234 0.0000121607 -0.0000103125 0.0001351048 0.0010846444 -0.0000221567 0.0000120106 0.0010455198 0.0000139126 0.0010295861
1403715529.91214 0.164258 0.204088 0.352496 -0.820039 -0.057544 -0.568895 0.024173 0.0008801485 0.0000249309 -0.0003265752 0.0000118821 -0.0000091943 0.0001334487 0.0010901671 -0.0000259168 0.0000127184 0.0010502291 0.0000140970 0.0010298448
1403715529.96214 0.175580 0.217241 0.364245 -0.818727 -0.058207 -0.570641 0.025845 0.0008830243 0.0000231843 -0.0003234736 0.0000115601 -0.0000083915 0.0001306862 0.0010948335 -0.0000298053 0.0000133041 0.0010553707 0.0000144428 0.0010302692
1403715530.01214 0.187433 0.232115 0.378509 -0.816518 -0.060043 -0.573619 0.025589 0.0008873942 0.0000259657 -0.0003182293 0.0000115380 -0.0000091937 0.0001262345 0.0011005502 -0.0000343060 0.0000137717 0.0010608710 0.0000149396 0.0010309232
1403715530.06214 0.198820 0.247643 0.394296 -0.813299 -0.062651 -0.577969 0.023909 0.0008936325 0.0000319725 -0.0003100626 0.0000117262 -0.0000109111 0.0001195875 0.0011079154 -0.0000382314 0.0000150600 0.0010659370 0.0000150041 0.0010314681
1403715530.11214 0.210960 0.262025 0.410388 -0.810185 -0.065394 -0.582142 0.020839 0.0008990562 0.0000406939 -0.0003022036 0.0000123193 -0.0000134482 0.0001135032 0.0011171501 -0.0000423344 0.0000164659 0.0010713550 0.0000149451 0.0010317599
1403715530.16214 0.220372 0.280825 0.429003 -0.809200 -0.068095 -0.583308 0.017622 0.0008996648 0.0000482165 -0.0003004392 0.0000129614 -0.0000158442 0.0001122486 0.0011278937 -0.0000468443 0.0000178937 0.0010776929 0.0000151250 0.0010323872
1403715530.21214 0.231052 0.298890 0.449228 -0.810274 -0.070235 -0.581648 0.014453 0.0008966717 0.0000555652 -0.0003032136 0.0000137982 -0.0000185262 0.0001144430 0.0011423812 -0.0000519881 0.0000192523 0.0010816225 0.0000147819 0.0010330530
1403715530.26214 0.241381 0.318600 0.472566 -0.812308 -0.072247 -0.578636 0.010819 0.0008908479 0.0000624521 -0.0003093242 0.0000146279 -0.0000214542 0.0001193663 0.0011566523 -0.0000588071 0.0000201801 0.0010871244 0.0000146513 0.0010338987
1403715530.31214 0.249526 0.340171 0.499365 -0.813812 -0.073407 -0.576409 0.008594 0.0008865502 0.0000670225 -0.0003137192 0.0000152241 -0.0000235334 0.0001229865 0.0011725537 -0.0000659982 0.0000213795 0.0010934341 0.0000149867 0.0010352710
1403715530.36214 0.255524 0.363676 0.528919 -0.815109 -0.071716 -0.574759 0.010276 0.0008845470 0.0000621269 -0.0003171922 0.0000144602 -0.0000220749 0.0001257640 0.0011900897 -0.0000727198 0.0000222806 0.0010993949 0.0000156489 0.0010368902
1403715530.41214 0.259013 0.388910 0.561655 -0.815922 -0.069412 -0.573815 0.013777 0.0008837474 0.0000545190 -0.0003195247 0.0000131906 -0.0000195870 0.0001274200 0.0012074521 -0.0000810955 0.0000223632 0.0011027907 0.0000156635 0.0010379117
1403715530.46214 0.262668 0.412223 0.594274 -0.816664 -0.068259 -0.572752 0.018847 0.0008839414 0.0000457389 -0.0003207597 0.0000120715 -0.0000164365 0.0001281956 0.0012290472 -0.0000886068 0.0000224645 0.0011067833 0.0000162529 0.0010392776
1403715530.51214 0.265885 0.436796 0.626232 -0.816760 -0.069542 -0.572301 0.023195 0.0008841170 0.0000404288 -0.0003213440 0.0000114205 -0.0000145693 0.0001284225 0.0012495083 -0.0000964940 0.0000220979 0.0011095500 0.0000165672 0.0010403130
1403715530.56214 0.266295 0.460361 0.654364 -0.816798 -0.071365 -0.571810 0.027953 0.0008835403 0.0000353714 -0.0003226747 0.0000107723 -0.0000129237 0.0001292379 0.0012699515 -0.0001065825 0.0000210353 0.0011106675 0.0000164078 0.0010411768
1403715530.61214 0.267339 0.484274 0.681589 -0.816463 -0.073559 -0.571805 0.031869 0.0008842756 0.0000314507 -0.0003222819 0.0000102656 -0.0000116233 0.0001286284 0.0012898466 -0.0001153544 0.0000200457 0.0011099752 0.0000163546 0.0010423843
1403715530.66214 0.270813 0.512896 0.705136 -0.815846 -0.075453 -0.572239 0.035276 0.0008859600 0.0000272595 -0.0003207071 0.0000096652 -0.0000102376 0.0001270343 0.0013094126 -0.0001255700 0.0000181963 0.0011086799 0.0000160255 0.0010430230
1403715530.71214 0.277260 0.542739 0.729413 -0.815569 -0.077635 -0.572117 0.038750 0.0008864695 0.0000242393 -0.0003204438 0.0000093300 -0.0000092422 0.0001266565 0.0013378076 -0.0001369707 0.0000171766 0.0011105373 0.0000160135 0.0010443771
1403715530.76214 0.282531 0.571005 0.751058 -0.815392 -0.081393 -0.571528 0.043200 0.0008860193 0.0000217257 -0.0003212256 0.0000091022 -0.0000084133 0.0001272223 0.0013718633 -0.0001497596 0.0000168370 0.0011153255 0.0000164043 0.0010460675
1403715530.81214 0.289222 0.600221 0.772056 -0.815150 -0.086574 -0.570671 0.048677 0.0008856222 0.0000189147 -0.0003219443 0.0000088855 -0.0000074566 0.0001277448 0.0014055986 -0.0001618298 0.0000162651 0.0011192752 0.0000166172 0.0010475485
1403715530.86214 0.292096 0.628661 0.791183 -0.814365 -0.092588 -0.570302 0.054706 0.0008855148 0.0000160666 -0.0003222468 0.0000086172 -0.0000064626 0.0001279385 0.0014408845 -0.0001754091 0.0000159193 0.0011244754 0.0000169584 0.0010492159
1403715530.91214 0.294800 0.657138 0.809669 -0.813838 -0.098364 -0.569542 0.060116 0.0008851810 0.0000139641 -0.0003227894 0.0000083989 -0.0000057260 0.0001283349 0.0014764614 -0.0001864373 0.0000155202 0.0011273390 0.0000172172 0.0010507391
1403715530.96214 0.298580 0.686119 0.827630 -0.813764 -0.104745 -0.568235 0.062653 0.0008835489 0.0000163730 -0.0003246414 0.0000084051 -0.0000066795 0.0001298782 0.0015142603 -0.0001971457 0.0000152781 0.0011301560 0.0000174482 0.0010522829
1403715531.01214 0.303427 0.715913 0.844165 -0.816313 -0.109363 -0.563274 0.066297 0.0008765984 0.0000141108 -0.0003326889 0.0000082093 -0.0000060286 0.0001368852 0.0015539005 -0.0002090514 0.0000148295 0.0011331056 0.0000171697 0.0010531076
1403715531.06214 0.311140 0.747849 0.859719 -0.821087 -0.114040 -0.555121 0.068199 0.0008642022 0.0000133118 -0.0003460865 0.0000080863 -0.0000060410 0.0001493206 0.0015973454 -0.0002222476 0.0000147270 0.0011368311 0.0000171708 0.0010542769
1403715531.11214 0.317351 0.779404 0.875660 -0.827258 -0.117250 -0.544928 0.070357 0.0008469691 0.0000105521 -0.0003632220 0.0000079408 -0.0000052596 0.0001666718 0.0016461380 -0.0002389354 0.0000143859 0.0011426769 0.0000170734 0.0010554159
1403715531.16214 0.325325 0.810582 0.890594 -0.832352 -0.119608 -0.536322 0.072408 0.0008322502 0.0000074679 -0.0003766002 0.0000077721 -0.0000041487 0.0001814562 0.0016961900 -0.0002555842 0.0000140109 0.0011481396 0.0000168796 0.0010562952
1403715531.21214 0.334617 0.841690 0.902727 -0.836524 -0.117544 -0.529170 0.079938 0.0008216040 -0.0000080842 -0.0003855515 0.0000076601 0.0000030714 0.0001920262 0.0017476154 -0.0002746290 0.0000130293 0.0011547987 0.0000159129 0.0010554969
1403715531.26214 0.347808 0.872893 0.915194 -0.835776 -0.113995 -0.529694 0.088923 0.0008248173 -0.0000246977 -0.0003822049 0.0000081874 0.0000107976 0.0001880615 0.0018002053 -0.0002954979 0.0000126709 0.0011636937 0.0000155414 0.0010547627
1403715531.31214 0.366134 0.901995 0.930825 -0.832206 -0.109911 -0.534694 0.097232 0.0008353110 -0.0000393485 -0.0003720384 0.0000091863 0.0000169679 0.0001764188 0.0018543319 -0.0003201396 0.0000127361 0.0011760198 0.0000157403 0.0010558472
1403715531.36214 0.382296 0.927761 0.944022 -0.827322 -0.107559 -0.541546 0.103426 0.0008479400 -0.0000494774 -0.0003593391 0.0000101255 0.0000204644 0.0001627347 0.0019064674 -0.0003489245 0.0000133951 0.0011923462 0.0000156416 0.0010569224
1403715531.41214 0.398435 0.953925 0.958126 -0.822824 -0.106519 -0.547835 0.107194 0.0008587307 -0.0000544720 -0.0003481443 0.0000106236 0.0000216043 0.0001513477 0.0019524471 -0.0003741746 0.0000141472 0.0012062482 0.0000151480 0.0010574295
1403715531.46214 0.416757 0.977029 0.969047 -0.819172 -0.106969 -0.552996 0.108216 0.0008680058 -0.0000537298 -0.0003387502 0.0000104097 0.0000204937 0.0001422040 0.0019995307 -0.0003994097 0.0000151909 0.0012197525 0.0000142664 0.0010579181
1403715531.51214 0.438257 0.999052 0.977789 -0.816479 -0.107111 -0.556758 0.109130 0.0008745533 -0.0000534543 -0.0003317881 0.0000102763 0.0000198194 0.0001356594 0.0020419731 -0.0004262222 0.0000162670 0.0012346642 0.0000130139 0.0010579935
1403715531.56214 0.459097 1.020237 0.983967 -0.815062 -0.107152 -0.558650 0.110009 0.0008779058 -0.0000542587 -0.0003280272 0.0000102963 0.0000198445 0.0001322174 0.0020840142 -0.0004566074 0.0000170014 0.0012533731 0.0000119508 0.0010584595
1403715531.61214 0.479327 1.043768 0.988477 -0.815220 -0.106434 -0.558207 0.111769 0.0008777521 -0.0000581018 -0.0003276611 0.0000107119 0.0000213151 0.0001318437 0.0021254486 -0.0004869144 0.0000176061 0.0012719301 0.0000107796 0.0010585777
1403715531.66214 0.497849 1.067027 0.991766 -0.815716 -0.105622 -0.557419 0.112849 0.0008754708 -0.0000614481 -0.0003297134 0.0000111192 0.0000228013 0.0001336357 0.0021643399 -0.0005125459 0.0000180231 0.0012871105 0.0000100211 0.0010588977
1403715531.71214 0.521178 1.090267 0.992639 -0.815409 -0.107138 -0.558095 0.110273 0.0008768245 -0.0000554157 -0.0003293784 0.0000102705 0.0000204584 0.0001330976 0.0022217587 -0.0005502651 0.0000183265 0.0013106566 0.0000096785 0.0010596651
1403715531.76214 0.544766 1.112249 0.995453 -0.814677 -0.110009 -0.559616 0.105023 0.0008791315 -0.0000437810 -0.0003285912 0.0000088866 0.0000159794 0.0001320607 0.0022700270 -0.0005871921 0.0000184587 0.0013350718 0.0000088672 0.0010594789
1403715531.81214 0.567861 1.129761 0.997943 -0.811786 -0.112704 -0.564180 0.100008 0.0008859404 -0.0000316425 -0.0003221696 0.0000077800 0.0000110786 0.0001262327 0.0023169218 -0.0006250425 0.0000184568 0.0013617623 0.0000082878 0.0010590678
1403715531.86214 0.589925 1.144968 0.998109 -0.808203 -0.114991 -0.569607 0.095571 0.0008935797 -0.0000211902 -0.0003138559 0.0000071101 0.0000069537 0.0001191248 0.0023546506 -0.0006600457 0.0000185500 0.0013882761 0.0000078003 0.0010583739
1403715531.91214 0.609341 1.159592 0.997685 -0.804735 -0.116169 -0.574681 0.092995 0.0009008247 -0.0000144200 -0.0003051707 0.0000068057 0.0000043535 0.0001121442 0.0023883894 -0.0006932196 0.0000186706 0.0014146349 0.0000075927 0.0010587329
1403715531.96214 0.627660 1.171612 0.997118 -0.801613 -0.117197 -0.579258 0.090229 0.0009067884 -0.0000073996 -0.0002975687 0.0000065741 0.0000018179 0.0001062660 0.0024204253 -0.0007226518 0.0000188599 0.0014374639 0.0000075374 0.0010584334
1403715532.01214 0.643242 1.181412 0.994832 -0.799989 -0.117624 -0.581566 0.089238 0.0009100914 -0.0000045534 -0.0002931915 0.0000064915 0.0000008044 0.0001029439 0.0024477690 -0.0007497169 0.0000186429 0.0014590392 0.0000073470 0.0010580219
