# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715528.46214 0.004919 -0.002169 -0.001424 0.819713 -0.027586 0.570945 0.036489 0.0014946406 -0.0000001703 0.0000035003 0.0014895302 -0.0000001168 0.0014919084 0.0078014464 0.0000002385 -0.0000115209 0.0078086646 0.0000048514 0.0015570776
1403715528.51214 0.006476 -0.001619 0.000297 0.822009 -0.029321 0.567599 0.035682 0.0015675082 -0.0000002003 0.0000037262 0.0015619972 -0.0000001386 0.0015644693 0.0099363445 0.0000003479 -0.0000181204 0.0099469954 0.0000036461 0.0016491847
1403715528.56214 0.008381 -0.000267 0.003981 0.822594 -0.030886 0.566739 0.034512 0.0016453254 -0.0000002295 0.0000039677 0.0016394639 -0.0000001654 0.0016420630 0.0125732711 0.0000004887 -0.0000276111 0.0125885295 -0.0000011548 0.0017505358
1403715528.61214 0.011116 0.001510 0.009879 0.821629 -0.032118 0.568093 0.034122 0.0017280958 -0.0000002559 0.0000042263 0.0017219284 -0.0000001962 0.0017246991 0.0157967445 0.0000006618 -0.0000428846 0.0158180738 -0.0000093089 0.0018617403
1403715528.66214 0.024511 0.009032 0.020334 0.819763 -0.032961 0.570845 0.032228 0.0015732082 -0.0001012738 -0.0002591274 0.0002151808 0.0000103854 0.0002607480 0.0026584187 -0.0000719500 -0.0000473806 0.0030713488 -0.0000080948 0.0018457007
1403715528.71214 0.027157 0.010937 0.029135 0.818332 -0.034279 0.572836 0.031898 0.0016112200 -0.0001026118 -0.0002642263 0.0002237955 0.0000114396 0.0002693627 0.0029155319 -0.0001175257 -0.0000520051 0.0033261137 -0.0000175345 0.0019435282
1403715528.76214 0.027659 0.015197 0.035537 0.817507 -0.036471 0.573932 0.030891 0.0015637448 -0.0000183428 -0.0002449106 0.0001593425 0.0000066232 0.0002402630 0.0023525513 0.0001127848 -0.0000758911 0.0037005566 0.0000060896 0.0020371010
1403715528.81214 0.032227 0.017638 0.045947 0.816642 -0.037067 0.575085 0.031592 0.0016265860 -0.0000211214 -0.0002460892 0.0001757351 0.0000070163 0.0002544055 0.0025799830 0.0001396674 -0.0000567276 0.0042404165 0.0000134730 0.0021663576
1403715528.86214 0.035504 0.023922 0.057365 0.814804 -0.037452 0.577569 0.033254 0.0016343206 0.0000005876 -0.0002641323 0.0001798474 0.0000126988 0.0002577344 0.0027720082 0.0001759931 -0.0000427858 0.0046403129 0.0000261753 0.0022966018
1403715528.91214 0.049164 0.050144 0.067176 0.814040 -0.039232 0.578249 0.037773 0.0013942623 -0.0000036417 -0.0003649662 0.0001462599 0.0000018423 0.0002106874 0.0024739259 -0.0002097905 -0.0001001735 0.0036024258 0.0000142779 0.0023919897
1403715528.96214 0.052274 0.051577 0.078269 0.813653 -0.039172 0.578815 0.037521 0.0014240827 0.0000060972 -0.0003818075 0.0001585297 -0.0000011305 0.0002186951 0.0026436599 -0.0002462022 -0.0000687608 0.0038887156 0.0000195583 0.0025334281
1403715529.01214 0.052301 0.070805 0.090290 0.814296 -0.039923 0.577650 0.040598 0.0012780409 0.0000600977 -0.0004083214 0.0001346645 0.0000070534 0.0002162825 0.0022049926 0.0001447767 -0.0001987409 0.0035944077 0.0000805585 0.0025682913
1403715529.06214 0.056574 0.079085 0.101265 0.815190 -0.039244 0.576628 0.037747 0.0012924847 0.0000613215 -0.0004235211 0.0001321476 0.0000074267 0.0002284474 0.0022606059 0.0001588348 -0.0001942493 0.0038128038 0.0001071642 0.0026925650
1403715529.11214 0.028508 0.098377 0.133043 0.816285 -0.041733 0.574988 0.036420 0.0011996427 0.0000348916 -0.0003917874 0.0000805852 0.0000190386 0.0002032958 0.0017434326 0.0000254039 -0.0002293214 0.0032264846 -0.0000339356 0.0025747265
1403715529.16214 0.035709 0.111155 0.156132 0.817388 -0.037222 0.573946 0.032820 0.0012071166 0.0000324960 -0.0004041436 0.0000835272 0.0000184379 0.0002110430 0.0017382294 0.0000353244 -0.0001983309 0.0034412225 0.0000022969 0.0026263271
1403715529.21214 0.039306 0.118804 0.175698 0.818907 -0.031365 0.572408 0.027505 0.0012097372 0.0000326625 -0.0004218219 0.0000873258 0.0000171400 0.0002173781 0.0016980592 -0.0000126077 -0.0001993645 0.0035564397 -0.0000043691 0.0026913488
1403715529.26214 0.057543 0.166760 0.203670 0.822810 -0.031744 0.566853 0.025554 0.0011745046 0.0000394624 -0.0004162955 0.0000759936 0.0000053625 0.0001961765 0.0015217092 0.0000031086 -0.0002452335 0.0034401968 0.0001125185 0.0025210564
1403715529.31214 0.066123 0.119702 0.244294 0.826319 -0.013938 0.562844 0.014439 0.0011332677 0.0000430102 -0.0004226081 0.0000743412 0.0000020411 0.0002038644 0.0015064979 0.0000434215 -0.0002007168 0.0032785412 0.0001951039 0.0025347532
1403715529.36214 0.071821 0.115384 0.279486 0.829217 -0.002149 0.558855 0.008639 0.0011143971 0.0000429290 -0.0004408081 0.0000740167 -0.0000033926 0.0002104058 0.0014780700 -0.0000104133 -0.0001644271 0.0032684553 0.0001436127 0.0024786205
1403715529.41214 0.091927 0.178230 0.295121 0.830136 -0.000895 0.557487 0.009029 0.0010997073 0.0000464142 -0.0004488740 0.0000725859 -0.0000104974 0.0002114975 0.0014652133 -0.0000143944 -0.0001233557 0.0032411018 0.0001411545 0.0024091945
1403715529.46214 0.100217 0.205872 0.303027 0.829446 0.003931 0.558541 0.005955 0.0010973799 0.0000487740 -0.0004488228 0.0000700605 -0.0000130405 0.0002088944 0.0014718492 0.0000446575 -0.0000837727 0.0032566697 0.0001550673 0.0023645581
1403715529.51214 0.117234 0.203952 0.296794 -0.827423 -0.013254 -0.561422 0.000152 0.0010684949 0.0000403272 -0.0004322456 0.0000570681 -0.0000118913 0.0001967845 0.0014606431 0.0000753298 -0.0000520310 0.0030497899 0.0001117853 0.0021830439
1403715529.56214 0.125590 0.193804 0.290250 -0.825615 -0.021975 -0.563776 0.005885 0.0010446171 0.0000280157 -0.0004135686 0.0000491551 -0.0000065737 0.0001848228 0.0014414739 0.0000797327 -0.0000273857 0.0028294293 -0.0000031040 0.0020537786
1403715529.61214 0.136777 0.194391 0.289285 -0.824305 -0.028599 -0.565347 0.009228 0.0010144079 0.0000203097 -0.0003926683 0.0000416238 -0.0000042989 0.0001716512 0.0014341209 0.0000728773 -0.0000156289 0.0025377456 -0.0000975712 0.0019219807
1403715529.66214 0.144553 0.203924 0.292030 -0.822320 -0.033801 -0.567898 0.011790 0.0009752801 0.0000246007 -0.0003691786 0.0000340138 -0.0000068974 0.0001577478 0.0014231569 0.0000912548 -0.0000292536 0.0021748556 -0.0000119180 0.0017136580
1403715529.71214 0.154163 0.255170 0.296226 -0.821368 -0.032088 -0.569422 0.009156 0.0009677198 0.0000273754 -0.0003588656 0.0000298092 -0.0000073752 0.0001490963 0.0014162727 0.0000950025 -0.0000208268 0.0020785181 -0.0000359137 0.0016417742
1403715529.76214 0.169788 0.242006 0.323635 -0.821874 -0.040277 -0.568103 0.012639 0.0009607717 0.0000302074 -0.0003536691 0.0000281159 -0.0000089214 0.0001458677 0.0014376335 0.0001077135 -0.0000152821 0.0020283101 0.0000228731 0.0015779041
1403715529.81214 0.181988 0.258222 0.326021 -0.821039 -0.042652 -0.569088 0.014626 0.0009447714 0.0000265860 -0.0003501330 0.0000257688 -0.0000078787 0.0001448119 0.0014182976 0.0000987136 0.0000008773 0.0018956130 0.0000072270 0.0015439280
1403715529.86214 0.193675 0.280400 0.346479 -0.821656 -0.043241 -0.568141 0.015065 0.0009331260 0.0000254783 -0.0003445791 0.0000215207 -0.0000080465 0.0001411576 0.0014099842 0.0000866406 0.0000256439 0.0017737050 0.0000133581 0.0014569290
1403715529.91214 0.209576 0.261234 0.350285 -0.819814 -0.049021 -0.570156 0.020564 0.0009186305 0.0000218817 -0.0003386819 0.0000179719 -0.0000070317 0.0001381959 0.0014110997 0.0000765437 0.0000387682 0.0016162592 0.0000234730 0.0013736472
1403715529.96214 0.224241 0.262424 0.361894 -0.818178 -0.052326 -0.572103 0.023360 0.0009145041 0.0000213050 -0.0003299208 0.0000161628 -0.0000072808 0.0001318772 0.0013861248 0.0000649125 0.0000419509 0.0015273109 0.0000337992 0.0013105974
1403715530.01214 0.237773 0.271499 0.375348 -0.816000 -0.054690 -0.574987 0.023329 0.0009150369 0.0000257101 -0.0003228166 0.0000157773 -0.0000088851 0.0001264368 0.0013793342 0.0000580876 0.0000475415 0.0014826983 0.0000408368 0.0012889886
1403715530.06214 0.250342 0.279665 0.394914 -0.812800 -0.058060 -0.579222 0.022050 0.0009177817 0.0000320629 -0.0003134598 0.0000155838 -0.0000109757 0.0001192955 0.0013782258 0.0000513927 0.0000501844 0.0014449066 0.0000483118 0.0012640536
1403715530.11214 0.263564 0.294732 0.417107 -0.809938 -0.060906 -0.583042 0.018766 0.0009225482 0.0000413289 -0.0003051912 0.0000160835 -0.0000138091 0.0001130274 0.0013788762 0.0000462870 0.0000547148 0.0014432127 0.0000552136 0.0012543451
1403715530.16214 0.277715 0.308489 0.427558 -0.808517 -0.063636 -0.584806 0.015900 0.0009175703 0.0000485144 -0.0003029268 0.0000160472 -0.0000163142 0.0001119331 0.0013854578 0.0000357755 0.0000615572 0.0013902022 0.0000519217 0.0012354717
1403715530.21214 0.289306 0.325633 0.445510 -0.809216 -0.065809 -0.583673 0.012824 0.0009143703 0.0000556483 -0.0003042299 0.0000167708 -0.0000188947 0.0001131325 0.0013945434 0.0000274129 0.0000675011 0.0013830109 0.0000564753 0.0012348768
1403715530.26214 0.299878 0.346976 0.464814 -0.810933 -0.067537 -0.581156 0.009138 0.0009081476 0.0000628586 -0.0003092106 0.0000175311 -0.0000218482 0.0001171654 0.0014039261 0.0000171989 0.0000717471 0.0013731891 0.0000605363 0.0012274745
1403715530.31214 0.310901 0.370231 0.484782 -0.812034 -0.068524 -0.579535 0.006666 0.0009036977 0.0000675086 -0.0003126190 0.0000178038 -0.0000238115 0.0001199334 0.0014204303 0.0000061994 0.0000748737 0.0013664668 0.0000613559 0.0012156899
1403715530.36214 0.316118 0.385074 0.505006 -0.812858 -0.067456 -0.578473 0.008949 0.0009024570 0.0000625383 -0.0003148061 0.0000167594 -0.0000223036 0.0001216385 0.0014402296 -0.0000052619 0.0000769815 0.0013708112 0.0000570145 0.0012089878
1403715530.41214 0.323423 0.406402 0.528994 -0.813481 -0.065269 -0.577776 0.012758 0.0009013276 0.0000546673 -0.0003156963 0.0000151292 -0.0000197421 0.0001222940 0.0014538683 -0.0000105114 0.0000788991 0.0013604766 0.0000601768 0.0011912712
1403715530.46214 0.331632 0.433684 0.561256 -0.814164 -0.063981 -0.576838 0.017360 0.0009017413 0.0000453626 -0.0003164467 0.0000137575 -0.0000165197 0.0001227228 0.0014723488 -0.0000208901 0.0000802885 0.0013620575 0.0000587663 0.0011801270
1403715530.51214 0.339537 0.462974 0.592779 -0.814163 -0.065455 -0.576546 0.021173 0.0009004871 0.0000403248 -0.0003164164 0.0000124907 -0.0000148256 0.0001227199 0.0014939758 -0.0000368970 0.0000795403 0.0013482194 0.0000546264 0.0011528011
1403715530.56214 0.346494 0.493840 0.623584 -0.814412 -0.067173 -0.575848 0.024912 0.0008997428 0.0000364282 -0.0003172827 0.0000116851 -0.0000135356 0.0001233701 0.0015230424 -0.0000487955 0.0000794260 0.0013500842 0.0000533017 0.0011367290
1403715530.61214 0.354318 0.528971 0.655828 -0.814508 -0.068850 -0.575397 0.027487 0.0008997962 0.0000341623 -0.0003171696 0.0000112166 -0.0000127310 0.0001232310 0.0015566887 -0.0000605661 0.0000791030 0.0013533187 0.0000527365 0.0011270796
1403715530.66214 0.362895 0.561671 0.684386 -0.814105 -0.070434 -0.575623 0.030510 0.0009002432 0.0000314096 -0.0003163892 0.0000107755 -0.0000117196 0.0001225648 0.0015967685 -0.0000751404 0.0000784698 0.0013551329 0.0000508961 0.0011189664
1403715530.71214 0.371797 0.596803 0.711438 -0.813993 -0.072157 -0.575403 0.033460 0.0009003430 0.0000287615 -0.0003165437 0.0000104659 -0.0000107896 0.0001226219 0.0016369788 -0.0000893417 0.0000788791 0.0013616785 0.0000507026 0.0011154068
1403715530.76214 0.378116 0.626024 0.735913 -0.814061 -0.075858 -0.574560 0.037837 0.0008992003 0.0000265082 -0.0003175265 0.0000102134 -0.0000100405 0.0001234253 0.0016830688 -0.0001053107 0.0000789555 0.0013646971 0.0000507088 0.0011126089
1403715530.81214 0.384857 0.661727 0.760516 -0.814178 -0.080677 -0.573392 0.042735 0.0008980888 0.0000237839 -0.0003188606 0.0000098921 -0.0000091339 0.0001244740 0.0017235484 -0.0001190691 0.0000788936 0.0013675697 0.0000498251 0.0011105161
1403715530.86214 0.391024 0.694174 0.783289 -0.813646 -0.086571 -0.572831 0.048477 0.0008972212 0.0000214086 -0.0003199132 0.0000096548 -0.0000083118 0.0001253174 0.0017745646 -0.0001343795 0.0000786229 0.0013723556 0.0000492611 0.0011090380
1403715530.91214 0.397832 0.727413 0.805827 -0.813496 -0.092166 -0.571721 0.053533 0.0008962713 0.0000196435 -0.0003209604 0.0000094295 -0.0000076971 0.0001261520 0.0018228300 -0.0001493547 0.0000777341 0.0013753745 0.0000481447 0.0011074176
1403715530.96214 0.402895 0.757968 0.825144 -0.813590 -0.098479 -0.570297 0.055992 0.0008939470 0.0000223645 -0.0003236806 0.0000094606 -0.0000087686 0.0001284116 0.0018742008 -0.0001666801 0.0000773306 0.0013810365 0.0000470057 0.0011072399
1403715531.01214 0.411888 0.792812 0.846122 -0.816581 -0.102683 -0.564911 0.059386 0.0008867915 0.0000201653 -0.0003322417 0.0000092112 -0.0000082374 0.0001357297 0.0019223036 -0.0001829949 0.0000761746 0.0013839959 0.0000454024 0.0011070344
1403715531.06214 0.421230 0.828397 0.864962 -0.821456 -0.106800 -0.556823 0.061263 0.0008736504 0.0000192977 -0.0003467589 0.0000091005 -0.0000083495 0.0001490162 0.0019794510 -0.0002055444 0.0000750172 0.0013897622 0.0000437634 0.0011074568
1403715531.11214 0.432117 0.865979 0.883525 -0.828096 -0.109296 -0.546207 0.062996 0.0008563994 0.0000160908 -0.0003641244 0.0000088365 -0.0000075408 0.0001663830 0.0020381604 -0.0002308311 0.0000728885 0.0013933548 0.0000407218 0.0011066273
1403715531.16214 0.440814 0.900573 0.899363 -0.833435 -0.111553 -0.537334 0.064911 0.0008407358 0.0000129656 -0.0003785646 0.0000085994 -0.0000065508 0.0001821787 0.0021029461 -0.0002605052 0.0000709848 0.0014000227 0.0000381532 0.0011063893
1403715531.21214 0.449078 0.934319 0.911347 -0.837781 -0.109377 -0.530043 0.072202 0.0008295995 -0.0000024885 -0.0003882869 0.0000082720 0.0000005060 0.0001935414 0.0021648588 -0.0002880668 0.0000688576 0.0014056700 0.0000352840 0.0011055497
1403715531.26214 0.454583 0.963080 0.922770 -0.836922 -0.105998 -0.530775 0.081261 0.0008325697 -0.0000189291 -0.0003855080 0.0000085748 0.0000081806 0.0001901896 0.0022249585 -0.0003175672 0.0000662695 0.0014118782 0.0000322018 0.0011041920
1403715531.31214 0.460552 0.988867 0.934752 -0.833116 -0.102638 -0.536016 0.089831 0.0008436016 -0.0000335836 -0.0003752010 0.0000093583 0.0000144107 0.0001783062 0.0022742907 -0.0003424403 0.0000627270 0.0014154835 0.0000288665 0.0011027258
1403715531.36214 0.463826 1.008375 0.940735 -0.828044 -0.100506 -0.543111 0.096290 0.0008567525 -0.0000435641 -0.0003621839 0.0000100873 0.0000179145 0.0001642519 0.0023160331 -0.0003668327 0.0000582022 0.0014183348 0.0000251030 0.0011008473
1403715531.41214 0.474668 1.031455 0.951001 -0.823602 -0.099546 -0.549313 0.100126 0.0008679878 -0.0000489831 -0.0003504469 0.0000104879 0.0000192717 0.0001523889 0.0023421301 -0.0003856640 0.0000531273 0.0014173161 0.0000210819 0.0010987311
1403715531.46214 0.491821 1.055971 0.961586 -0.820177 -0.099980 -0.554223 0.100749 0.0008770669 -0.0000483127 -0.0003411227 0.0000102570 0.0000182830 0.0001433829 0.0023776539 -0.0004123272 0.0000493584 0.0014235288 0.0000180270 0.0010976294
1403715531.51214 0.514693 1.078151 0.970561 -0.817894 -0.100260 -0.557438 0.101295 0.0008829258 -0.0000476417 -0.0003345978 0.0000100117 0.0000175748 0.0001373410 0.0024163088 -0.0004480978 0.0000454796 0.0014342723 0.0000153454 0.0010967826
1403715531.56214 0.533450 1.100943 0.975914 -0.816865 -0.100193 -0.558871 0.101769 0.0008852396 -0.0000479254 -0.0003318878 0.0000098921 0.0000175311 0.0001348463 0.0024559592 -0.0004874396 0.0000428826 0.0014525989 0.0000136164 0.0010966917
1403715531.61214 0.550725 1.124668 0.977992 -0.817121 -0.099221 -0.558388 0.103303 0.0008843081 -0.0000514469 -0.0003325246 0.0000101852 0.0000189746 0.0001353634 0.0024993991 -0.0005217817 0.0000402607 0.0014691011 0.0000126157 0.0010967780
1403715531.66214 0.572285 1.147917 0.978592 -0.818307 -0.097727 -0.556636 0.104780 0.0008813034 -0.0000555916 -0.0003350756 0.0000105868 0.0000208227 0.0001376307 0.0025433241 -0.0005570298 0.0000375917 0.0014840846 0.0000116482 0.0010967541
1403715531.71214 0.595904 1.167957 0.979060 -0.818323 -0.098978 -0.556863 0.102247 0.0008813702 -0.0000503502 -0.0003359628 0.0000098999 0.0000188922 0.0001381791 0.0025894125 -0.0005972275 0.0000353693 0.0015062430 0.0000106700 0.0010967168
1403715531.76214 0.618820 1.187365 0.979877 -0.817861 -0.101531 -0.558035 0.096909 0.0008829467 -0.0000389776 -0.0003358531 0.0000087037 0.0000145093 0.0001377462 0.0026294171 -0.0006385658 0.0000331785 0.0015319244 0.0000096013 0.0010966091
1403715531.81214 0.638536 1.208935 0.979963 -0.815397 -0.103631 -0.562203 0.091192 0.0008892603 -0.0000270397 -0.0003299281 0.0000077522 0.0000096712 0.0001322222 0.0026687674 -0.0006790468 0.0000312260 0.0015575539 0.0000087348 0.0010963755
1403715531.86214 0.656963 1.221645 0.980681 -0.811892 -0.106066 -0.567491 0.086806 0.0008961874 -0.0000163500 -0.0003223200 0.0000071443 0.0000054495 0.0001255554 0.0027134015 -0.0007183654 0.0000296417 0.0015796030 0.0000080205 0.0010964273
1403715531.91214 0.673197 1.231585 0.980919 -0.808324 -0.107585 -0.572649 0.084332 0.0009030819 -0.0000097549 -0.0003136451 0.0000068651 0.0000029117 0.0001183907 0.0027369804 -0.0007519708 0.0000284180 0.0015991355 0.0000076075 0.0010962040
1403715531.96214 0.686311 1.242378 0.980160 -0.805407 -0.108699 -0.576939 0.081526 0.0009086840 -0.0000027951 -0.0003055838 0.0000065148 0.0000003328 0.0001119727 0.0027477400 -0.0007834171 0.0000267562 0.0016131606 0.0000074997 0.0010947864
1403715532.01214 0.704247 1.253401 0.979455 -0.803785 -0.108909 -0.579356 0.080095 0.0009115018 -0.0000000774 -0.0003016411 0.0000063938 -0.0000006462 0.0001088797 0.0027686777 -0.0008082252 0.0000252832 0.0016258955 0.0000072737 0.0010940665
