# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715893.18406 -0.000618 0.002475 -0.000611 0.825346 -0.032048 0.561881 0.045467 0.0014830439 0.0000000002 0.0000000001 0.0014830447 0.0000000004 0.0014830441 0.0074577742 0.0000000076 0.0000029959 0.0074577339 -0.0000044282 0.0015418775
1403715893.23406 -0.000514 0.002690 -0.001026 0.825029 -0.032057 0.562349 0.045423 0.0015550443 0.0000000003 0.0000000002 0.0015550459 0.0000000008 0.0015550446 0.0094993339 0.0000000092 0.0000032694 0.0094992793 -0.0000055648 0.0016326965
1403715893.28406 0.000002 0.003072 -0.001261 0.824908 -0.032017 0.562547 0.045185 0.0016320446 0.0000000005 0.0000000002 0.0016320474 0.0000000012 0.0016320450 0.0120129774 0.0000000099 0.0000020070 0.0120129039 -0.0000074541 0.0017327061
1403715893.33406 0.000498 0.003507 -0.001440 0.824347 -0.032121 0.563377 0.045015 0.0017140441 0.0000000008 0.0000000003 0.0017140485 0.0000000018 0.0017140446 0.0150728652 0.0000000103 0.0000002030 0.0150727699 -0.0000100190 0.0018424871
1403715893.38406 0.001172 0.004011 -0.001620 0.824119 -0.032087 0.563713 0.045002 0.0018010428 0.0000000012 0.0000000005 0.0018010496 0.0000000025 0.0018010435 0.0187596789 0.0000000095 -0.0000027416 0.0187595569 -0.0000133442 0.0019626586
1403715893.43406 0.002194 0.004559 -0.000874 0.823355 -0.032184 0.564856 0.044594 0.0018930409 0.0000000017 0.0000000006 0.0018930506 0.0000000034 0.0018930418 0.0231735105 0.0000000059 -0.0000087054 0.0231733555 -0.0000174757 0.0020938792
1403715893.48406 0.003112 0.005391 0.002050 0.819852 -0.031790 0.570071 0.043014 0.0019900313 0.0000000036 0.0000000010 0.0019900511 0.0000000057 0.0019900324 0.0284319511 0.0000000002 -0.0000152314 0.0284317529 -0.0000240372 0.0022368440
1403715893.53406 0.004240 0.006992 0.006115 0.814646 -0.031628 0.577689 0.040342 0.0020919870 0.0000000139 0.0000000031 0.0020920487 0.0000000149 0.0020919876 0.0346391907 -0.0000000070 -0.0000245786 0.0346389350 -0.0000372137 0.0023922983
1403715893.58406 0.006088 0.009111 0.011208 0.809820 -0.031828 0.584574 0.038102 0.0021988734 0.0000000396 0.0000000086 0.0021990390 0.0000000382 0.0021988730 0.0419152973 -0.0000000268 -0.0000415861 0.0419149524 -0.0000572110 0.0025610287
1403715893.63406 0.007592 0.012092 0.016958 0.805505 -0.033013 0.590625 0.035125 0.0023106597 0.0000000872 0.0000000198 0.0023110178 0.0000000863 0.0023106596 0.0503895131 -0.0000000518 -0.0000590625 0.0503890424 -0.0000885479 0.0027438487
1403715893.68406 0.008630 0.015576 0.022568 0.803681 -0.033606 0.593207 0.032772 0.0024273569 0.0000001568 0.0000000387 0.0024279812 0.0000001630 0.0024273606 0.0601870304 -0.0000000759 -0.0000747574 0.0601863694 -0.0001309746 0.0029416024
1403715893.73406 0.009399 0.018999 0.028967 0.803156 -0.034720 0.593969 0.030587 0.0025490188 0.0000002428 0.0000000656 0.0025499279 0.0000002599 0.0025490295 0.0714776480 -0.0000000961 -0.0000893385 0.0714767001 -0.0001800144 0.0031551514
1403715893.78406 0.009467 0.022690 0.036170 0.803696 -0.034888 0.593238 0.030410 0.0026756694 0.0000003318 0.0000000956 0.0026768686 0.0000003659 0.0026756909 0.0844348625 -0.0000000780 -0.0000972357 0.0844335199 -0.0002396818 0.0033854199
1403715893.83406 0.009214 0.026971 0.043481 0.806296 -0.033717 0.589682 0.032030 0.0028073586 0.0000004116 0.0000001232 0.0028088139 0.0000004610 0.0028073900 0.0992187938 0.0000000213 -0.0001006334 0.0992168601 -0.0003164065 0.0036334244
