# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1413393216.55576 -0.009360 -0.006442 0.001285 -0.801495 -0.008505 -0.597855 0.010097 0.0014692411 0.0000000004 0.0000000001 0.0014692444 0.0000000002 0.0014692411 0.0070931038 -0.0000000653 0.0000235981 0.0070931474 0.0000155522 0.0015249065
1413393216.60576 -0.011181 -0.007792 0.000795 -0.801674 -0.007228 -0.597629 0.010345 0.0015402404 0.0000000014 0.0000000000 0.0015402456 0.0000000001 0.0015402399 0.0090457939 -0.0000000963 0.0000326795 0.0090458532 0.0000218930 0.0016140185
1413393216.65576 -0.012751 -0.009055 0.001135 -0.800995 -0.006964 -0.598556 0.009453 0.0016162395 0.0000000027 -0.0000000001 0.0016162461 -0.0000000001 0.0016162383 0.0114602379 -0.0000001307 0.0000427298 0.0114603064 0.0000294294 0.0017122114
1413393216.70576 -0.014956 -0.010399 0.002348 -0.800301 -0.007371 -0.599515 0.006804 0.0016972396 0.0000000039 0.0000000002 0.0016972454 0.0000000000 0.0016972365 0.0144129136 -0.0000001782 0.0000570638 0.0144130110 0.0000385181 0.0018200881
1413393216.75576 -0.017691 -0.011969 0.003437 -0.799997 -0.007560 -0.599945 0.003662 0.0017832394 0.0000000049 0.0000000022 0.0017832409 0.0000000004 0.0017832322 0.0179772556 -0.0000002478 0.0000768097 0.0179774045 0.0000504562 0.0019382773
1413393216.80576 -0.020693 -0.013400 0.006020 -0.799406 -0.008031 -0.600736 0.000848 0.0018742366 0.0000000056 0.0000000082 0.0018742285 0.0000000008 0.0018742227 0.0222582291 -0.0000003297 0.0001015083 0.0222584544 0.0000637922 0.0020674122
1413393216.85576 -0.024115 -0.014622 0.009919 0.798592 0.008247 0.601815 0.001404 0.0019702312 0.0000000034 0.0000000177 0.0019702092 -0.0000000007 0.0019702085 0.0273580582 -0.0000004231 0.0001330616 0.0273584068 0.0000777665 0.0022081924
1413393216.90576 -0.028185 -0.015640 0.015092 0.797172 0.008341 0.603683 0.003635 0.0020712209 -0.0000000009 0.0000000321 0.0020711797 -0.0000000038 0.0020711871 0.0333863037 -0.0000005326 0.0001744208 0.0333868538 0.0000924951 0.0023613737
1413393216.95576 -0.032805 -0.016345 0.020849 0.796927 0.009435 0.603964 0.006791 0.0021772008 -0.0000000110 0.0000000540 0.0021771355 -0.0000000118 0.0021771551 0.0404556425 -0.0000006447 0.0002268955 0.0404564961 0.0001062662 0.0025277273
1413393217.00576 -0.038064 -0.016722 0.028185 0.797205 0.009657 0.603566 0.008930 0.0022881702 -0.0000000244 0.0000000855 0.0022880724 -0.0000000231 0.0022881125 0.0487130349 -0.0000007538 0.0002931855 0.0487143258 0.0001186493 0.0027080883
1413393217.05576 -0.044267 -0.016332 0.037327 0.798552 0.009701 0.601768 0.009842 0.0024041398 -0.0000000317 0.0000001219 0.0024039988 -0.0000000291 0.0024040663 0.0583068776 -0.0000008228 0.0003791603 0.0583088202 0.0001244265 0.0029033612
1413393217.10576 -0.025267 0.001432 0.048126 0.801410 0.007886 0.597962 0.011032 0.0014245188 0.0000648892 -0.0003705844 0.0002097595 0.0000774860 0.0002228860 0.0023015922 0.0000922105 -0.0005238613 0.0015748042 -0.0001029164 0.0021031985
1413393217.15576 -0.030361 0.004237 0.060934 0.802280 0.007018 0.596806 0.010934 0.0014625432 0.0000700635 -0.0003830737 0.0002322987 0.0000863027 0.0002411961 0.0024540988 0.0001068980 -0.0005285999 0.0016337017 -0.0000736010 0.0022157840
1413393217.20576 -0.036298 0.007749 0.073957 0.802777 0.006603 0.596139 0.011135 0.0015033693 0.0000766880 -0.0003951022 0.0002568302 0.0000954233 0.0002601406 0.0026356104 0.0001308757 -0.0005224256 0.0017070335 -0.0000333015 0.0023395286
1413393217.25576 -0.032284 0.008501 0.079883 0.802321 0.009717 0.596735 0.009732 0.0012676074 0.0000773762 -0.0003084544 0.0001308542 0.0000320562 0.0001722064 0.0016959782 -0.0001432721 -0.0001128289 0.0015152315 0.0001140210 0.0017849398
1413393217.30576 -0.035527 0.013233 0.091364 0.803396 0.010298 0.595278 0.009664 0.0011077197 0.0000452787 -0.0003009925 0.0000881700 0.0000206188 0.0001594022 0.0017181015 -0.0001554104 -0.0000905561 0.0014568782 0.0001031545 0.0016418706
1413393217.35576 -0.041776 0.018354 0.100818 0.803900 0.010310 0.594594 0.009784 0.0011109340 0.0000441104 -0.0003171025 0.0000888491 0.0000235137 0.0001559748 0.0017571110 -0.0001744802 -0.0000805118 0.0014912530 0.0001337428 0.0016627623
1413393217.40576 -0.056517 0.024695 0.107698 0.804100 0.009509 0.594328 0.010339 0.0009094249 0.0000461726 -0.0002562490 0.0000501782 0.0000004557 0.0001172913 0.0013531082 0.0000699950 -0.0000744157 0.0013201457 0.0000988439 0.0014585317
1413393217.45576 -0.066245 0.029987 0.114889 0.804622 0.009370 0.593620 0.010563 0.0008968329 0.0000386110 -0.0002637032 0.0000432937 -0.0000021922 0.0001136620 0.0013520320 0.0000774069 -0.0000523633 0.0013128186 0.0000869974 0.0013948982
1413393217.50576 -0.071156 0.036144 0.124257 0.805192 0.011486 0.592816 0.010202 0.0008742213 0.0000405984 -0.0002520334 0.0000397607 -0.0000067733 0.0001048833 0.0013273905 0.0000877479 -0.0000603895 0.0013221041 0.0000804437 0.0013574279
1413393217.55576 -0.077333 0.042617 0.132310 0.805648 0.010576 0.592208 0.010453 0.0008645337 0.0000408020 -0.0002532858 0.0000378389 -0.0000071383 0.0001020438 0.0013179999 0.0000924287 -0.0000498271 0.0013058595 0.0000830049 0.0013262351
1413393217.60576 -0.087020 0.051830 0.137353 0.805660 0.011124 0.592175 0.010855 0.0008662731 0.0000420004 -0.0002523262 0.0000385247 -0.0000079358 0.0001019151 0.0013249463 0.0000902375 -0.0000501809 0.0013267869 0.0000880950 0.0013301310
1413393217.65576 -0.098351 0.062913 0.144092 0.805909 0.011256 0.591830 0.011071 0.0008665398 0.0000408743 -0.0002531789 0.0000396288 -0.0000087425 0.0001020701 0.0013402627 0.0000977632 -0.0000371846 0.0013517094 0.0000881818 0.0013182701
1413393217.70576 -0.131544 0.083642 0.172110 0.806342 0.010199 0.591160 0.015470 0.0008288783 0.0000324066 -0.0002565157 0.0000166369 -0.0000105455 0.0000938340 0.0012096133 0.0000957903 -0.0000599576 0.0012015655 0.0000020667 0.0011388697
1413393217.75576 -0.142947 0.096870 0.180663 0.806121 0.010329 0.591468 0.015097 0.0008293201 0.0000320899 -0.0002555547 0.0000168507 -0.0000105127 0.0000933572 0.0012096861 0.0000971523 -0.0000589537 0.0012084397 0.0000031703 0.0011380857
1413393217.80576 -0.155114 0.110549 0.190860 0.806315 0.010434 0.591215 0.014563 0.0008287826 0.0000317872 -0.0002556936 0.0000171317 -0.0000104692 0.0000937639 0.0012115032 0.0000997956 -0.0000572488 0.0012201056 0.0000069706 0.0011390568
1413393217.85576 -0.167693 0.122963 0.201792 0.806510 0.010891 0.590982 0.012771 0.0008199225 0.0000311134 -0.0002527931 0.0000166828 -0.0000104302 0.0000928494 0.0012111389 0.0001003559 -0.0000564692 0.0012231501 0.0000081580 0.0011349325
1413393217.90576 -0.179964 0.138287 0.214643 0.806482 0.011827 0.591028 0.011553 0.0008192468 0.0000310887 -0.0002515055 0.0000167933 -0.0000104009 0.0000923553 0.0012154643 0.0001035577 -0.0000546658 0.0012366883 0.0000124647 0.0011353438
1413393217.95576 -0.193442 0.153840 0.226581 0.806058 0.012707 0.591610 0.010319 0.0008193311 0.0000309110 -0.0002503028 0.0000163639 -0.0000103026 0.0000916833 0.0012175371 0.0001066322 -0.0000536448 0.0012485334 0.0000146320 0.0011309422
1413393218.00576 -0.207930 0.171459 0.239663 0.806439 0.011840 0.591124 0.009377 0.0008172749 0.0000293830 -0.0002506701 0.0000154896 -0.0000097645 0.0000920488 0.0012184803 0.0001073966 -0.0000507911 0.0012521102 0.0000163421 0.0011260785
1413393218.05576 -0.221490 0.188818 0.252732 0.806346 0.010023 0.591324 0.006480 0.0008189994 0.0000240436 -0.0002502896 0.0000149585 -0.0000080294 0.0000918238 0.0012261965 0.0001121425 -0.0000487061 0.0012687757 0.0000205019 0.0011265655
1413393218.10576 -0.234632 0.205040 0.264091 0.806657 0.007431 0.590964 0.003265 0.0008186987 0.0000177221 -0.0002512217 0.0000145466 -0.0000059456 0.0000924910 0.0012296970 0.0001209924 -0.0000425113 0.0012835218 0.0000234897 0.0011240305
1413393218.15576 -0.246520 0.220749 0.272305 -0.806764 -0.004133 -0.590854 0.002385 0.0008190749 0.0000075147 -0.0002514510 0.0000140386 -0.0000025709 0.0000926083 0.0012333300 0.0001304040 -0.0000382947 0.0012989799 0.0000271374 0.0011232912
1413393218.20576 -0.258004 0.235757 0.278253 -0.806710 -0.000529 -0.590883 0.008693 0.0008197550 -0.0000039684 -0.0002511790 0.0000140136 0.0000009840 0.0000923298 0.0012417514 0.0001392952 -0.0000350203 0.0013155348 0.0000275258 0.0011209749
1413393218.25576 -0.272809 0.259315 0.289207 -0.807635 0.005740 -0.589514 0.012899 0.0008176545 -0.0000172577 -0.0002525981 0.0000141823 0.0000051275 0.0000934293 0.0012501966 0.0001474986 -0.0000337120 0.0013316783 0.0000276085 0.0011192005
1413393218.30576 -0.284096 0.257456 0.283469 -0.808099 0.009812 -0.588667 0.018701 0.0007952011 -0.0000290290 -0.0002512853 0.0000128172 0.0000091094 0.0000929624 0.0012232685 0.0001542131 -0.0000392972 0.0012645565 0.0000019309 0.0010972438
1413393218.35576 -0.298333 0.271495 0.283234 -0.808283 0.009390 -0.588408 0.019130 0.0007943793 -0.0000294444 -0.0002515016 0.0000129284 0.0000092780 0.0000933008 0.0012333758 0.0001618752 -0.0000391950 0.0012806935 0.0000038405 0.0010987634
1413393218.40576 -0.312538 0.283203 0.281063 -0.807832 0.006710 -0.589187 0.014851 0.0007934485 -0.0000215220 -0.0002499084 0.0000124095 0.0000067013 0.0000924254 0.0012417313 0.0001682589 -0.0000392431 0.0012944676 0.0000038966 0.0010987500
1413393218.45576 -0.328006 0.294349 0.277527 -0.807683 0.002908 -0.589526 0.009944 0.0007880293 -0.0000118861 -0.0002483110 0.0000118929 0.0000036073 0.0000917803 0.0012464919 0.0001726607 -0.0000405161 0.0012968118 -0.0000012915 0.0010968302
1413393218.50576 -0.344529 0.304021 0.271842 -0.807082 -0.001877 -0.590410 0.005486 0.0007853382 -0.0000018676 -0.0002464744 0.0000117004 0.0000004388 0.0000906674 0.0012521087 0.0001809709 -0.0000398249 0.0013008116 -0.0000059169 0.0010950467
1413393218.55576 -0.361006 0.314467 0.267638 -0.806675 -0.005062 -0.590973 0.000110 0.0007834093 0.0000082020 -0.0002448895 0.0000117868 -0.0000027349 0.0000897617 0.0012571834 0.0001891021 -0.0000379931 0.0013109461 -0.0000080536 0.0010941081
1413393218.60576 -0.379026 0.325658 0.263469 0.805779 0.009343 0.592138 0.002348 0.0007649382 0.0000145988 -0.0002367867 0.0000119017 -0.0000047390 0.0000862053 0.0012575160 0.0001912945 -0.0000377805 0.0013053583 -0.0000144426 0.0010915199
1413393218.65576 -0.396023 0.339025 0.260626 0.805230 0.011493 0.592836 0.004298 0.0007495865 0.0000179801 -0.0002301909 0.0000119631 -0.0000057759 0.0000833997 0.0012568263 0.0001920371 -0.0000375871 0.0013054695 -0.0000177263 0.0010901954
1413393218.70576 -0.410518 0.355091 0.257963 0.805257 0.009593 0.592819 0.005959 0.0006936351 0.0000158688 -0.0002112681 0.0000118539 -0.0000050709 0.0000769142 0.0012483048 0.0001857250 -0.0000360510 0.0013030923 -0.0000188346 0.0010895203
1413393218.75576 -0.424012 0.372914 0.254673 0.806378 0.006203 0.591284 0.010019 0.0005948685 0.0000147967 -0.0001831201 0.0000117931 -0.0000048315 0.0000688222 0.0012343859 0.0001669571 -0.0000342703 0.0012828731 -0.0000179613 0.0010887261
1413393218.80576 -0.438302 0.389269 0.251680 0.809412 0.003626 0.587143 0.010102 0.0004553419 0.0000102056 -0.0001445359 0.0000115438 -0.0000036040 0.0000582931 0.0012156544 0.0001387543 -0.0000318438 0.0012521685 -0.0000156439 0.0010878792
1413393218.85576 -0.453710 0.402458 0.249383 0.814286 -0.000072 0.580428 0.006438 0.0003600427 0.0000041956 -0.0001205517 0.0000112878 -0.0000017995 0.0000528184 0.0012041385 0.0001180945 -0.0000290595 0.0012293420 -0.0000128031 0.0010870956
1413393218.90576 -0.465869 0.418555 0.245778 0.819100 -0.003916 0.573626 0.003620 0.0002787864 -0.0000000267 -0.0001000974 0.0000109478 -0.0000003711 0.0000481142 0.0011765932 0.0000838782 -0.0000293716 0.0011674693 -0.0000131283 0.0010839871
1413393218.95576 -0.480329 0.431679 0.244235 0.823101 -0.005997 0.567862 0.001196 0.0002345096 -0.0000018574 -0.0000882565 0.0000108614 0.0000003016 0.0000454489 0.0011736240 0.0000742558 -0.0000271409 0.0011574851 -0.0000113313 0.0010834836
1413393219.00576 -0.492604 0.444680 0.243976 -0.825617 0.008558 -0.564166 0.000033 0.0002021999 -0.0000029917 -0.0000784406 0.0000107528 0.0000007487 0.0000426399 0.0011712139 0.0000667471 -0.0000256796 0.0011490735 -0.0000100816 0.0010826739
1413393219.05576 -0.504845 0.454365 0.244746 -0.826952 0.008396 -0.562202 0.003030 0.0001750424 -0.0000038000 -0.0000692430 0.0000105908 0.0000011053 0.0000395368 0.0011676364 0.0000601357 -0.0000247749 0.0011410058 -0.0000089948 0.0010819360
1413393219.10576 -0.514883 0.462132 0.246742 -0.826635 0.007072 -0.562677 0.004357 0.0001524417 -0.0000036169 -0.0000606018 0.0000102981 0.0000010819 0.0000360784 0.0011615234 0.0000557843 -0.0000248224 0.0011300833 -0.0000078991 0.0010811192
1413393219.15576 -0.522874 0.470919 0.249279 -0.825827 0.006608 -0.563855 0.005868 0.0001307711 -0.0000035117 -0.0000520744 0.0000099646 0.0000010924 0.0000325465 0.0011543733 0.0000517460 -0.0000253783 0.0011179528 -0.0000070895 0.0010801621
1413393219.20576 -0.527718 0.479614 0.252662 -0.825310 0.006145 -0.564604 0.006948 0.0001142259 -0.0000035873 -0.0000455086 0.0000096365 0.0000011777 0.0000297836 0.0011455019 0.0000489210 -0.0000261463 0.0011083175 -0.0000069817 0.0010791522
1413393219.25576 -0.532544 0.488727 0.256654 -0.824259 0.005525 -0.566136 0.007474 0.0001004583 -0.0000034632 -0.0000396358 0.0000093853 0.0000011647 0.0000271419 0.0011376837 0.0000456419 -0.0000269592 0.0011007566 -0.0000071021 0.0010779537
1413393219.30576 -0.537287 0.498170 0.261065 -0.823426 0.005304 -0.567344 0.007866 0.0000910910 -0.0000036440 -0.0000354374 0.0000092254 0.0000012430 0.0000251488 0.0011291875 0.0000432605 -0.0000275399 0.0010961975 -0.0000075237 0.0010766873
1413393219.35576 -0.541006 0.507518 0.265722 -0.823179 0.004941 -0.567698 0.008445 0.0000839609 -0.0000037650 -0.0000323846 0.0000091027 0.0000012971 0.0000237561 0.0011227800 0.0000412968 -0.0000280803 0.0010934586 -0.0000078700 0.0010756797
1413393219.40576 -0.545813 0.516634 0.270650 -0.822671 0.004507 -0.568404 0.010487 0.0000770228 -0.0000040072 -0.0000291711 0.0000090267 0.0000013710 0.0000221875 0.0011163393 0.0000395910 -0.0000281474 0.0010919867 -0.0000083542 0.0010746186
1413393219.45576 -0.549209 0.524874 0.273444 -0.821744 0.003938 -0.569742 0.010732 0.0000702902 -0.0000039363 -0.0000260345 0.0000089484 0.0000013004 0.0000206657 0.0011107035 0.0000377617 -0.0000280537 0.0010908173 -0.0000085880 0.0010737524
1413393219.50576 -0.556807 0.534221 0.273676 -0.820700 0.001354 -0.571236 0.011825 0.0000596639 -0.0000035377 -0.0000212746 0.0000087592 0.0000010475 0.0000183966 0.0011002852 0.0000357201 -0.0000278830 0.0010882813 -0.0000081913 0.0010718433
