# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1413393889.70576 0.005248 -0.003478 0.008493 -0.825423 -0.008106 -0.564452 0.002133 0.0014690739 0.0000000243 0.0000000021 0.0014692383 0.0000000075 0.0014690719 0.0071363006 0.0000000150 -0.0000107721 0.0071362907 0.0000066059 0.0015247899
1413393889.75576 0.006713 -0.004831 0.016897 0.828600 0.010217 0.559742 0.002350 0.0015399516 0.0000000502 0.0000000083 0.0015402275 0.0000000332 0.0015399495 0.0091499682 0.0000000294 -0.0000165715 0.0091499598 0.0000116179 0.0016138571
1413393889.80576 0.009488 -0.005903 0.029884 0.830255 0.011891 0.557222 0.006248 0.0016157839 0.0000000907 0.0000000224 0.0016162004 0.0000000826 0.0016157872 0.0116704024 0.0000000492 -0.0000284778 0.0116704339 0.0000169660 0.0017120272
1413393889.85576 0.013715 -0.006398 0.047092 0.831826 0.015160 0.554704 0.011800 0.0016965635 0.0000001444 0.0000000479 0.0016971486 0.0000001627 0.0016965860 0.0147839796 0.0000000669 -0.0000494140 0.0147841350 0.0000212812 0.0018199001
1413393889.90576 0.043974 -0.001501 0.050239 0.831825 0.016812 0.554645 0.012410 0.0010680967 0.0000959583 -0.0002826724 0.0001101610 0.0000052749 0.0002535383 0.0015008711 0.0002650070 -0.0000666628 0.0015857291 -0.0000935276 0.0015577568
1413393889.95576 0.033389 -0.002778 0.083376 0.827173 0.020147 0.561219 0.020314 0.0009910419 0.0000963803 -0.0002862948 0.0001055801 0.0000024622 0.0002498506 0.0014797032 0.0002454579 -0.0000535687 0.0015081174 -0.0001001746 0.0015795592
1413393890.00576 0.035157 -0.001544 0.111235 0.823232 0.023781 0.566629 0.025606 0.0009480253 0.0000881932 -0.0002858410 0.0000994608 -0.0000082935 0.0002359654 0.0014727115 0.0002311098 -0.0000480944 0.0014658421 -0.0001046183 0.0016027651
1413393890.05576 0.047800 0.012884 0.133537 0.819609 0.020317 0.571899 0.027563 0.0009066416 0.0000662085 -0.0002793334 0.0000889800 -0.0000161388 0.0002240689 0.0014385048 0.0001451249 -0.0000285915 0.0013440339 -0.0000972210 0.0016079563
1413393890.10576 0.060696 0.026020 0.166594 0.817724 0.017504 0.574773 0.025638 0.0009086175 0.0000595894 -0.0002719984 0.0000871661 -0.0000071217 0.0002044401 0.0014229291 0.0001661467 -0.0000201857 0.0013771284 -0.0001067470 0.0016374625
1413393890.15576 0.037391 0.025973 0.202661 0.813721 0.015904 0.580644 0.021380 0.0009063497 0.0000429916 -0.0002739682 0.0000647328 -0.0000058311 0.0001680302 0.0012379098 0.0000728264 0.0000319028 0.0013279570 -0.0000715287 0.0016274317
1413393890.20576 0.044358 0.031980 0.231783 0.812102 0.012454 0.583148 0.016538 0.0009064854 0.0000334748 -0.0002674952 0.0000661173 -0.0000003650 0.0001583438 0.0012333151 0.0000656827 0.0000634077 0.0013192699 -0.0000376562 0.0016496529
1413393890.25576 0.060478 0.051864 0.300021 0.814909 0.007269 0.579357 0.014706 0.0008121095 0.0000249649 -0.0002474446 0.0000329341 -0.0000041929 0.0000983448 0.0011648096 0.0000321836 0.0000342041 0.0011035024 -0.0000078637 0.0013621750
1413393890.30576 0.069084 0.062958 0.317767 0.814168 0.006463 0.580518 0.009341 0.0007881334 0.0000152715 -0.0002391494 0.0000314469 -0.0000013240 0.0000950765 0.0011493964 0.0000213657 0.0000429348 0.0010900112 -0.0000091430 0.0013791310
1413393890.35576 0.082680 0.074601 0.327958 0.812952 0.002637 0.582260 0.008659 0.0007649111 0.0000112895 -0.0002333595 0.0000293367 -0.0000006118 0.0000929654 0.0011451860 0.0000214648 0.0000545163 0.0010858502 -0.0000090877 0.0013687088
1413393890.40576 0.090804 0.082398 0.322057 0.812331 0.002499 0.583182 0.003415 0.0007567084 0.0000066452 -0.0002315848 0.0000273737 0.0000003937 0.0000921538 0.0011456040 0.0000224605 0.0000610276 0.0010839646 -0.0000066294 0.0013525702
1413393890.45576 0.102896 0.095210 0.318523 0.810021 0.000009 0.586400 0.000423 0.0007496163 -0.0000013017 -0.0002272927 0.0000250778 0.0000015813 0.0000883075 0.0011452075 0.0000221987 0.0000659014 0.0010833082 -0.0000034343 0.0013151920
1413393890.50576 0.113013 0.109154 0.315326 -0.805125 0.002667 -0.593098 0.001042 0.0007432608 -0.0000067614 -0.0002169866 0.0000194683 0.0000031483 0.0000803634 0.0011419868 0.0000231328 0.0000580091 0.0010814858 0.0000008147 0.0012608236
1413393890.55576 0.125831 0.120663 0.314143 -0.798460 0.004452 -0.602028 0.002003 0.0007294854 -0.0000112362 -0.0002006009 0.0000152299 0.0000035194 0.0000694209 0.0011367747 0.0000236756 0.0000479830 0.0010775500 0.0000049306 0.0012020307
1413393890.60576 0.134557 0.130232 0.314898 -0.792783 0.004266 -0.609485 0.002240 0.0007240209 -0.0000106573 -0.0001861883 0.0000142729 0.0000033697 0.0000612071 0.0011346763 0.0000227440 0.0000448544 0.0010746661 0.0000059721 0.0011786225
1413393890.65576 0.142241 0.139137 0.315517 -0.791608 0.003513 -0.611018 0.001161 0.0007236806 -0.0000089722 -0.0001827848 0.0000141893 0.0000027236 0.0000593850 0.0011368168 0.0000220773 0.0000473674 0.0010753300 0.0000069235 0.0011804034
1413393890.70576 0.148602 0.150348 0.316515 0.794447 -0.003059 0.607326 0.000258 0.0007193739 -0.0000068322 -0.0001877893 0.0000136561 0.0000021624 0.0000621825 0.0011387409 0.0000218892 0.0000502414 0.0010774295 0.0000086233 0.0011809005
1413393890.75576 0.151841 0.159094 0.311424 0.797718 -0.002705 0.603018 0.002870 0.0007102538 -0.0000038640 -0.0001948077 0.0000129874 0.0000015076 0.0000664221 0.0011396704 0.0000234018 0.0000481138 0.0010779749 0.0000108786 0.0011687420
1413393890.80576 0.155427 0.172456 0.314087 0.801497 -0.001892 0.597983 0.003814 0.0007022261 -0.0000021427 -0.0002024688 0.0000126439 0.0000010390 0.0000712076 0.0011415482 0.0000238064 0.0000492358 0.0010776757 0.0000133700 0.0011645489
1413393890.85576 0.160407 0.187364 0.321566 0.804964 -0.001463 0.593287 0.006437 0.0006838002 0.0000008842 -0.0002059209 0.0000114072 -0.0000001634 0.0000739298 0.0011302780 0.0000189139 0.0000385989 0.0010699466 0.0000135916 0.0011380817
1413393890.90576 0.160244 0.197808 0.325057 0.807090 -0.002219 0.590378 0.007368 0.0006762562 0.0000016385 -0.0002095607 0.0000113767 -0.0000004037 0.0000769000 0.0011292201 0.0000182845 0.0000378066 0.0010700914 0.0000137560 0.0011338655
1413393890.95576 0.162231 0.210103 0.330043 0.808677 -0.001997 0.588182 0.008950 0.0006708490 0.0000037215 -0.0002121577 0.0000113929 -0.0000010776 0.0000790802 0.0011298610 0.0000177057 0.0000367898 0.0010709234 0.0000138191 0.0011285957
1413393891.00576 0.164826 0.223248 0.336789 0.809982 -0.001833 0.586370 0.009751 0.0006686902 0.0000044632 -0.0002144516 0.0000114704 -0.0000013384 0.0000808254 0.0011338097 0.0000181485 0.0000364655 0.0010735644 0.0000136997 0.0011259834
