# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1413394886.90576 0.003351 -0.002150 0.000489 -0.802783 -0.012273 -0.595954 0.015079 0.0014667732 0.0000000623 0.0000033504 0.0014622241 0.0000000458 0.0014646786 0.0070809625 -0.0000000744 -0.0000069503 0.0070865594 0.0000048602 0.0015227642
1413394886.95576 0.003789 -0.002388 -0.000886 -0.804714 -0.011771 -0.593330 0.016000 0.0015376321 0.0000000588 0.0000035824 0.0015327098 0.0000000424 0.0015352964 0.0090235194 -0.0000001155 -0.0000091681 0.0090318630 0.0000062532 0.0016113368
1413394887.00576 0.003644 -0.002842 -0.001271 -0.804259 -0.011960 -0.593960 0.015376 0.0016134323 0.0000000636 0.0000038322 0.0016081962 0.0000000461 0.0016109675 0.0114262481 -0.0000001762 -0.0000097201 0.0114383022 0.0000086617 0.0017089130
1413394887.05576 0.003430 -0.003660 -0.001628 -0.806437 -0.012159 -0.591030 0.013984 0.0016942985 0.0000000688 0.0000040589 0.0016886828 0.0000000495 0.0016915650 0.0143566079 -0.0000002585 -0.0000098522 0.0143735408 0.0000130632 0.0018160676
1413394887.10576 0.003063 -0.004767 -0.000248 -0.808463 -0.012410 -0.588284 0.012471 0.0017801558 0.0000000761 0.0000042843 0.0017741701 0.0000000541 0.0017771515 0.0179106818 -0.0000003706 -0.0000090038 0.0179339592 0.0000197956 0.0019334082
1413394887.15576 0.002190 -0.006150 0.003128 -0.809592 -0.012461 -0.586763 0.010727 0.0018709754 0.0000000841 0.0000045175 0.0018646561 0.0000000617 0.0018677458 0.0221854354 -0.0000005255 -0.0000049339 0.0222168379 0.0000294359 0.0020615785
1413394887.20576 0.001073 -0.007631 0.008159 -0.808924 -0.012187 -0.587723 0.008656 0.0019667399 0.0000000907 0.0000047710 0.0019601405 0.0000000682 0.0019633938 0.0272812291 -0.0000007301 0.0000018746 0.0273228752 0.0000416017 0.0022012647
1413394887.25576 -0.000309 -0.008844 0.013872 -0.809061 -0.012625 -0.587558 0.005996 0.0020675362 0.0000001121 0.0000050171 0.0020606208 0.0000000855 0.0020640203 0.0332975863 -0.0000009923 0.0000122649 0.0333519500 0.0000541104 0.0023531810
1413394887.30576 -0.001730 -0.009767 0.021017 -0.808054 -0.012849 -0.588957 0.003629 0.0021732867 0.0000001341 0.0000052809 0.0021660939 0.0000001053 0.0021696818 0.0403654180 -0.0000013151 0.0000252845 0.0404354281 0.0000663358 0.0025180815
1413394887.35576 -0.003321 -0.010427 0.029595 -0.809224 -0.013279 -0.587349 0.000960 0.0022841106 0.0000001650 0.0000055240 0.0022765548 0.0000001320 0.0022802599 0.0486183653 -0.0000017076 0.0000424470 0.0487074199 0.0000778803 0.0026967630
1413394887.40576 -0.005049 -0.010748 0.041024 0.811154 0.012521 0.584699 0.000324 0.0023999495 0.0000001832 0.0000057589 0.0023920075 0.0000001483 0.0023957851 0.0582301195 -0.0000021761 0.0000641869 0.0583422336 0.0000873620 0.0028900541
1413394887.45576 -0.016880 0.001498 0.067665 0.810849 0.018940 0.584936 0.003920 0.0009380669 0.0000292791 -0.0002975695 0.0000844410 0.0000118935 0.0001213033 0.0012190472 0.0000228371 -0.0000474001 0.0011939406 -0.0000521213 0.0015116391
1413394887.50576 -0.018474 0.002971 0.087391 0.810981 0.018827 0.584748 0.005048 0.0009394017 0.0000383753 -0.0002993091 0.0000946611 0.0000107504 0.0001239713 0.0012181119 0.0000175254 -0.0000227659 0.0012025843 -0.0000466032 0.0015611636
1413394887.55576 -0.020789 0.009878 0.110413 0.812625 0.017062 0.582488 0.007590 0.0009277666 0.0000438983 -0.0002989512 0.0000866546 0.0000085063 0.0001262525 0.0012074507 0.0000317477 -0.0000129468 0.0011786828 -0.0000150213 0.0015382041
1413394887.60576 -0.024168 0.014309 0.131048 0.814212 0.016445 0.580261 0.009290 0.0009206119 0.0000421068 -0.0003032145 0.0000779681 0.0000045377 0.0001289759 0.0012081986 0.0000332712 0.0000061608 0.0011800799 -0.0000244214 0.0014740209
1413394887.65576 -0.028692 0.024380 0.156455 0.817290 0.016080 0.575884 0.011699 0.0009094189 0.0000448468 -0.0003103621 0.0000687804 0.0000011841 0.0001349620 0.0012054042 0.0000461733 0.0000210506 0.0011550390 -0.0000121124 0.0014237551
1413394887.70576 -0.024734 0.032116 0.187851 0.822070 0.014871 0.569050 0.012714 0.0008959049 0.0000456998 -0.0003185562 0.0000536656 -0.0000020312 0.0001398969 0.0012037666 0.0000471632 0.0000166167 0.0011391014 0.0000049505 0.0013497113
1413394887.75576 -0.024052 0.031657 0.200982 0.824579 0.013783 0.565466 0.011281 0.0008833511 0.0000398249 -0.0003313188 0.0000361546 -0.0000065097 0.0001482340 0.0011966618 0.0000483216 0.0000160710 0.0011294687 -0.0000025875 0.0012782070
1413394887.80576 -0.019883 0.033900 0.216309 0.827351 0.012133 0.561456 0.010493 0.0008757817 0.0000355740 -0.0003370803 0.0000279913 -0.0000083321 0.0001512635 0.0011849343 0.0000429551 0.0000140955 0.0011199365 -0.0000024282 0.0012510680
