# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1413394886.95576 0.003789 -0.002388 -0.000886 -0.804714 -0.011771 -0.593330 0.016000 0.0015402324 -0.0000000005 0.0000000001 0.0015402458 -0.0000000006 0.0015402325 0.0090374318 0.0000000172 -0.0000104097 0.0090373980 0.0000107381 0.0016138412
1413394887.00576 0.003644 -0.002842 -0.001271 -0.804259 -0.011960 -0.593960 0.015376 0.0016162257 -0.0000000004 0.0000000001 0.0016162472 -0.0000000005 0.0016162258 0.0114460171 0.0000000195 -0.0000112968 0.0114459578 0.0000141493 0.0017119689
1413394887.05576 0.003430 -0.003660 -0.001628 -0.806437 -0.012159 -0.591030 0.013984 0.0016972144 0.0000000004 0.0000000002 0.0016972483 0.0000000005 0.0016972146 0.0143835867 0.0000000237 -0.0000116722 0.0143834905 0.0000196216 0.0018197516
1413394887.10576 0.003063 -0.004767 -0.000248 -0.808463 -0.012410 -0.588284 0.012471 0.0017831928 0.0000000031 0.0000000004 0.0017832496 0.0000000025 0.0017831928 0.0179468097 0.0000000294 -0.0000113265 0.0179466608 0.0000275215 0.0019378025
1413394887.15576 0.006142 0.005053 0.005507 -0.809999 -0.010922 -0.586255 0.009358 0.0011338231 0.0000341694 -0.0002349724 0.0001010263 0.0000326430 0.0001892209 0.0015143673 0.0002131490 -0.0000850875 0.0017524100 -0.0000522662 0.0015511092
1413394887.20576 -0.000614 0.001377 0.012478 -0.808831 -0.010700 -0.587883 0.008461 0.0010459871 0.0000137227 -0.0002601255 0.0000815725 0.0000229779 0.0001643172 0.0013321247 0.0000733956 -0.0000689947 0.0014695193 -0.0000651403 0.0014951230
1413394887.25576 -0.003572 -0.002615 0.018683 -0.808804 -0.012244 -0.587920 0.006002 0.0009567485 0.0000127548 -0.0002748358 0.0000572670 0.0000189975 0.0001435554 0.0012509373 0.0000607770 -0.0000515822 0.0013004476 -0.0000558630 0.0013348712
1413394887.30576 -0.005679 -0.002856 0.026152 -0.807773 -0.012454 -0.589351 0.003668 0.0009601958 0.0000176500 -0.0002734319 0.0000603726 0.0000213227 0.0001441876 0.0012569259 0.0000735203 -0.0000494347 0.0013097866 -0.0000602321 0.0013446447
1413394887.35576 -0.007954 -0.002732 0.035883 -0.808988 -0.013037 -0.587680 0.000615 0.0009591894 0.0000236362 -0.0002780840 0.0000615496 0.0000226754 0.0001470246 0.0012582896 0.0000893249 -0.0000424281 0.0013239899 -0.0000624070 0.0013515504
1413394887.40576 -0.009749 -0.000070 0.036778 -0.810037 -0.011005 -0.586275 0.000172 0.0009272107 0.0000192876 -0.0002935424 0.0000405140 0.0000075222 0.0001308321 0.0012324559 0.0000743490 -0.0000472416 0.0012312792 -0.0000380824 0.0012321663
1413394887.45576 -0.010954 0.000838 0.051732 0.809315 0.011425 0.587256 0.003092 0.0009302034 0.0000244760 -0.0002909644 0.0000391635 0.0000038431 0.0001280023 0.0012337620 0.0000812770 -0.0000485149 0.0012372870 -0.0000400491 0.0012421022
