# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1413394886.90576 0.003351 -0.002150 0.000489 -0.802783 -0.012273 -0.595954 0.015079 0.0014667732 0.0000000623 0.0000033504 0.0014622241 0.0000000458 0.0014646786 0.0070809625 -0.0000000744 -0.0000069503 0.0070865594 0.0000048602 0.0015227642
1413394886.95576 0.003789 -0.002388 -0.000886 -0.804714 -0.011771 -0.593330 0.016000 0.0015376321 0.0000000588 0.0000035824 0.0015327098 0.0000000424 0.0015352964 0.0090235194 -0.0000001155 -0.0000091681 0.0090318630 0.0000062532 0.0016113368
1413394887.00576 0.003644 -0.002842 -0.001271 -0.804259 -0.011960 -0.593960 0.015376 0.0016134323 0.0000000636 0.0000038322 0.0016081962 0.0000000461 0.0016109675 0.0114262481 -0.0000001762 -0.0000097201 0.0114383022 0.0000086617 0.0017089130
1413394887.05576 0.003430 -0.003660 -0.001628 -0.806437 -0.012159 -0.591030 0.013984 0.0016942985 0.0000000688 0.0000040589 0.0016886828 0.0000000495 0.0016915650 0.0143566079 -0.0000002585 -0.0000098522 0.0143735408 0.0000130632 0.0018160676
1413394887.10576 -0.006719 -0.002920 -0.000277 -0.807453 -0.009985 -0.589718 0.012363 0.0010876973 -0.0000160911 -0.0002419656 0.0001250228 -0.0000290106 0.0002102660 0.0014015776 -0.0001081309 -0.0001809136 0.0013499254 0.0001072707 0.0014487297
1413394887.15576 -0.006906 -0.004099 0.006075 -0.809078 -0.011389 -0.587488 0.010969 0.0009779631 0.0000076121 -0.0002641990 0.0000625357 0.0000113748 0.0001519116 0.0012658943 -0.0000009862 -0.0000744944 0.0012716182 0.0000217070 0.0013228641
1413394887.20576 -0.010424 -0.005072 0.013241 -0.808320 -0.010983 -0.588575 0.008846 0.0009697103 0.0000093265 -0.0002712218 0.0000603319 0.0000099679 0.0001420091 0.0012370460 0.0000042778 -0.0000560076 0.0012566030 0.0000082515 0.0013016181
1413394887.25576 -0.011196 -0.007556 0.019393 -0.808552 -0.011967 -0.588270 0.006192 0.0009523020 0.0000141775 -0.0002775851 0.0000558075 0.0000121228 0.0001363222 0.0012246595 0.0000374849 -0.0000391044 0.0012352434 -0.0000137948 0.0012499515
1413394887.30576 -0.010229 -0.004862 0.028241 -0.808289 -0.011814 -0.588661 0.002707 0.0009432394 0.0000152363 -0.0002825992 0.0000497859 0.0000090423 0.0001296449 0.0012188274 0.0000455387 -0.0000465051 0.0012168392 -0.0000242650 0.0012270422
1413394887.35576 -0.012613 -0.004860 0.037393 -0.809460 -0.012205 -0.587048 0.000030 0.0009351584 0.0000195415 -0.0002911715 0.0000467408 0.0000091127 0.0001277536 0.0011970648 0.0000501739 -0.0000378265 0.0011994477 -0.0000201130 0.0012192697
1413394887.40576 -0.013286 -0.004687 0.049284 0.811686 0.011753 0.583974 0.001430 0.0009206246 0.0000180186 -0.0002977434 0.0000390282 0.0000041080 0.0001244187 0.0011819657 0.0000427437 -0.0000304607 0.0011653819 -0.0000078611 0.0011846371
1413394887.45576 -0.013841 -0.003256 0.069314 0.811575 0.013996 0.584061 0.004838 0.0009048376 0.0000216987 -0.0002961954 0.0000208618 -0.0000041567 0.0001124686 0.0011292475 0.0000403122 -0.0000136486 0.0010722586 -0.0000049242 0.0010796262
1413394887.50576 -0.015045 -0.001945 0.089044 0.811761 0.013554 0.583803 0.005798 0.0009033865 0.0000246657 -0.0002983031 0.0000211005 -0.0000050797 0.0001142813 0.0011244032 0.0000410174 -0.0000131170 0.0010726093 -0.0000052669 0.0010787524
1413394887.55576 -0.017061 0.000304 0.110777 0.813387 0.013375 0.581525 0.007173 0.0009002090 0.0000262565 -0.0003027401 0.0000212236 -0.0000057598 0.0001177642 0.0011195814 0.0000418984 -0.0000121278 0.0010733784 -0.0000053154 0.0010776188
1413394887.60576 -0.019739 0.005708 0.132729 0.815236 0.012747 0.578931 0.008189 0.0008964530 0.0000283449 -0.0003077281 0.0000210716 -0.0000066215 0.0001216440 0.0011141451 0.0000427237 -0.0000114436 0.0010733168 -0.0000047518 0.0010770583
1413394887.65576 -0.018157 0.008202 0.158361 0.818603 0.013651 0.574107 0.010152 0.0008894758 0.0000284683 -0.0003164674 0.0000192958 -0.0000079746 0.0001278548 0.0011056336 0.0000445520 -0.0000093200 0.0010727231 -0.0000046432 0.0010736081
1413394887.70576 -0.017998 0.012645 0.179964 0.821862 0.012743 0.569453 0.010161 0.0008807734 0.0000292344 -0.0003264762 0.0000178161 -0.0000086420 0.0001364172 0.0010995676 0.0000424480 -0.0000076169 0.0010686128 -0.0000031608 0.0010723387
1413394887.75576 -0.012479 0.017958 0.202838 0.825224 0.011826 0.564599 0.009712 0.0008741046 0.0000268606 -0.0003340590 0.0000173330 -0.0000082699 0.0001430322 0.0010955291 0.0000418575 -0.0000064895 0.0010692087 -0.0000024949 0.0010712031
